[-0.7170393  -0.3697919  -0.39082225  0.44313267],[-0.01608078  0.64110671 -0.64712481 -0.41225364],[0.21022045 0.17563533 0.51966107 0.80926631],[-0.26267842 -0.69161015  0.35681438  0.57040244],[-0.14923839  0.00317238 -0.02101414  0.98857283],[-9.97634384e-02  8.61789186e-09 -7.51262649e-08  9.95011184e-01],[ 0.00162799 -0.01078593  0.14923576  0.98874147],[ 0.2734612   0.04468875  0.2912002  -0.91565514],[ 0.43664576  0.05011698 -0.10242455 -0.89237771],[-2.99868072e-01 -3.21457377e-08  1.21245388e-08  9.53980681e-01],[ 9.00616800e-09  4.08662837e-09 -3.78025256e-09  1.00000000e+00],[ 0.29827228 -0.02700872  0.16208611 -0.9402299 ],[ 0.54992522  0.0531941  -0.08025142 -0.82964592],[-3.82760683e-01  4.24722167e-09  2.76103257e-08  9.23847531e-01],[-0.02281753  0.02156314 -0.14976097  0.98822368],[ 0.30453517 -0.09646775  0.0441189  -0.94657584],[ 0.45499307 -0.01856376  0.03629428 -0.88956136],[-3.11263676e-01  2.97500119e-08 -1.16644336e-07  9.50323589e-01],[-0.04721578  0.0415961  -0.29730419  0.95270701],[-0.43273943  0.12341074  0.17327961  0.87605967],[-0.15942272  0.01208175 -0.07459596  0.98431391],[-1.06892570e-01 -1.18036086e-09  4.83994364e-08  9.94270576e-01]
[-0.71697468 -0.36988592 -0.39079227  0.44318519],[-0.01687695  0.64104819 -0.64704969 -0.41243069],[0.21002048 0.17532876 0.51994067 0.80920512],[-0.26292825 -0.69156483  0.35685559  0.57031651],[-0.14969832  0.00315142 -0.02080966  0.98850768],[-1.00072004e-01  4.69807599e-08 -3.77294199e-07  9.94980198e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[ 0.27574515  0.0451749   0.29252413 -0.91452363],[ 0.43501014  0.05030982 -0.10328507 -0.89306623],[-2.98720139e-01 -1.33070771e-08 -5.56221768e-09  9.54340756e-01],[ 4.27444300e-09 -2.03455972e-08 -7.60906200e-09  1.00000000e+00],[ 0.29842287 -0.02598756  0.16375608 -0.93992148],[ 0.54956063  0.05386163 -0.08132169 -0.82974021],[-3.82535965e-01  4.78297701e-08 -4.49095446e-08  9.23940602e-01],[-0.02281757  0.0215631  -0.149761    0.98822368],[ 0.30610264 -0.09557017  0.04633172 -0.94605543],[ 0.45409868 -0.01763951  0.03457618 -0.89010546],[-3.10593209e-01  4.19273339e-08 -4.85919941e-08  9.50542928e-01],[-0.04721577  0.04159606 -0.29730416  0.95270702],[-0.4331166   0.12387217  0.17367     0.8757308 ],[-0.15907729  0.01218572 -0.07540061  0.9843072 ],[-1.06666320e-01 -2.93987079e-10 -2.85872321e-08  9.94294874e-01]
[-0.71691759 -0.36997178 -0.3908039   0.44319563],[-0.01707418  0.64111565 -0.64691151 -0.41253447],[0.20984809 0.17544468 0.5201851  0.80906762],[-0.26137319 -0.69103577  0.35757471  0.57122146],[-0.15151763  0.00304833 -0.01988228  0.98824987],[-1.01292534e-01  8.07062787e-09 -1.39549739e-08  9.94856684e-01],[ 0.00162799 -0.01078591  0.14923575  0.98874147],[ 0.27570839  0.04689775  0.29695931 -0.91301733],[ 0.43506568  0.05190266 -0.10648245 -0.89257238],[-2.98892632e-01 -1.78919253e-08  4.01691678e-09  9.54286747e-01],[ 9.10980447e-09  4.16751000e-09 -3.74787845e-09  1.00000000e+00],[ 0.2983658  -0.02663435  0.16148072 -0.94031507],[ 0.54960767  0.05270431 -0.07958775 -0.82995148],[-3.82487146e-01 -1.51850863e-08  6.57650693e-09  9.23960813e-01],[-0.02281754  0.02156313 -0.14976099  0.98822368],[ 0.30673114 -0.09519115  0.0480343  -0.94580514],[ 0.45384905 -0.01705197  0.03344976 -0.89028725],[-3.10397396e-01  2.30097325e-08 -7.11098791e-08  9.50606888e-01],[-0.04721577  0.04159609 -0.29730419  0.95270702],[-0.43278464  0.12478426  0.17576446  0.87534747],[-0.15925923  0.01255709 -0.0775933   0.98410269],[-1.06807620e-01 -1.71710753e-08  3.19089255e-08  9.94279705e-01]
[-0.71693248 -0.3699511  -0.39082414  0.44317095],[-0.01660636  0.64110207 -0.64690647 -0.41258257],[0.20941547 0.17479844 0.5200597  0.80940014],[-0.26244743 -0.69171735  0.3567659   0.5704091 ],[-0.1503083   0.00310896 -0.02044387  0.98842288],[-1.00481090e-01  3.46614089e-08 -2.68966491e-07  9.94938968e-01],[ 0.00162797 -0.01078595  0.14923577  0.98874147],[ 0.27523941  0.04500013  0.28982831 -0.91554236],[ 0.4369251   0.04967568 -0.10145777 -0.8923761 ],[-3.00031015e-01  1.95612710e-08  9.72188848e-09  9.53929447e-01],[ 4.42913067e-09 -2.03866482e-08 -7.57534845e-09  1.00000000e+00],[ 0.30005755 -0.026838    0.15977086 -0.94006301],[ 0.54819548  0.05170359 -0.07838235 -0.83106237],[-3.81356821e-01 -2.66645352e-08  1.90196136e-08  9.24427918e-01],[-0.02281754  0.02156312 -0.14976099  0.98822368],[ 0.30713387 -0.09641108  0.04503564 -0.94569841],[ 0.45341511 -0.01829232  0.0359213  -0.89038744],[-3.10119856e-01  1.54158707e-08 -4.80176132e-08  9.50697467e-01],[-0.04721577  0.04159607 -0.29730419  0.95270702],[-0.43137831  0.1249701   0.17610601  0.87594629],[-0.16035565  0.01270165 -0.07793341  0.98389589],[-1.07550287e-01  3.44190781e-09  1.49310334e-08  9.94199646e-01]
[-0.71699162 -0.36986228 -0.39081486  0.4431576 ],[-0.01603145  0.64082805 -0.64705295 -0.41280127],[0.20921834 0.1748621  0.52010757 0.8094066 ],[-0.26092011 -0.69150392  0.35700418  0.57121891],[-0.15160944  0.00298657 -0.01946764  0.98824424],[-1.01353364e-01 -3.58829798e-09 -6.05699954e-08  9.94850489e-01],[ 0.00162798 -0.01078591  0.14923577  0.98874147],[ 0.27316218  0.0460708   0.29289533 -0.91513509],[ 0.43846964  0.05126995 -0.10420871 -0.89121059],[-3.01261651e-01 -2.37561433e-08  2.32254335e-08  9.53541513e-01],[ 9.11845900e-09  4.10105772e-09 -3.76014953e-09  1.00000000e+00],[ 0.29967802 -0.02610794  0.16157843 -0.93989567],[ 0.54872544  0.0524897  -0.07944957 -0.83056185],[-3.81810123e-01 -1.50630198e-08  3.76628926e-08  9.24240786e-01],[-0.02281756  0.0215631  -0.14976101  0.98822367],[ 0.30462277 -0.09529288  0.04674734 -0.9465405 ],[ 0.4554872  -0.01789029  0.03493232 -0.88937679],[-3.11600170e-01 -1.92352182e-08  1.09540127e-08  9.50213310e-01],[-0.04721579  0.0415961  -0.29730417  0.95270702],[-0.43122389  0.12478038  0.17522216  0.87622657],[-0.16078998  0.0126126  -0.07717731  0.98388575],[-1.07836797e-01  3.39382521e-08 -7.39795332e-08  9.94168610e-01]
[-0.71706962 -0.36974293 -0.3907701   0.44317047],[-0.01570497  0.64036584 -0.64730718 -0.41313237],[0.20897378 0.1746684  0.52008215 0.80952793],[-0.25966679 -0.69151502  0.35648459  0.5721004 ],[-0.15198577  0.00282648 -0.01837761  0.98820777],[-1.01604091e-01  4.27248209e-08 -3.41376504e-07  9.94824914e-01],[ 0.00162797 -0.01078592  0.14923578  0.98874147],[ 0.27510507  0.04616972  0.29520581 -0.91380473],[ 0.43698359  0.05178198 -0.10566977 -0.89173868],[-3.00246710e-01  1.14753787e-08  1.37323397e-08  9.53861580e-01],[ 4.25181046e-09 -2.04720081e-08 -7.64932651e-09  1.00000000e+00],[ 0.30128544 -0.02672917  0.15952297 -0.93971541],[ 0.54791757  0.05153388 -0.07818487 -0.83127476],[-3.81136523e-01  1.34595459e-08 -2.58187276e-08  9.24518767e-01],[-0.02281756  0.02156308 -0.14976099  0.98822368],[ 0.30385495 -0.09486647  0.04708807 -0.9468132 ],[ 0.45604976 -0.0178227   0.03474646 -0.8890971 ],[-3.12003527e-01  7.44344710e-08 -8.27535171e-08  9.50080943e-01],[-0.04721578  0.04159607 -0.29730417  0.95270702],[-0.43421011  0.12594972  0.17782561  0.87405738],[-0.15779803  0.01273206 -0.07941045  0.98419086],[-1.05837577e-01 -1.31935058e-08 -2.88042103e-08  9.94383431e-01]
[-0.71713588 -0.36964085 -0.39072566  0.44318759],[-0.01540108  0.639882   -0.6475384  -0.41353097],[0.2088832  0.17454821 0.52000598 0.80962616],[-0.26066506 -0.69161365  0.35601465  0.57181978],[-0.1508837   0.00299064 -0.01958965  0.98835288],[-1.00865936e-01 -1.29655117e-08  7.40800994e-08  9.94900027e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[ 0.27129722  0.04552269  0.29199904 -0.91600331],[ 0.4394408   0.05086663 -0.1031222  -0.89088169],[-3.01919911e-01  3.44933612e-08 -4.61752416e-08  9.53333293e-01],[0. 0. 0. 1.],[ 0.29946429 -0.02726216  0.15778825 -0.94057471],[ 0.54911036  0.05081235 -0.07686529 -0.83065495],[-3.81980375e-01  1.38185930e-08 -1.80900607e-08  9.24170435e-01],[-0.02281755  0.02156313 -0.14976098  0.98822368],[ 0.30322669 -0.09585795  0.04422198 -0.94705293],[ 0.45586824 -0.01901431  0.03708321 -0.88907111],[-3.11907408e-01  5.96851739e-08 -6.08138738e-08  9.50112503e-01],[-0.04721579  0.04159608 -0.29730417  0.95270702],[-0.4321975   0.12647448  0.17898446  0.8747423 ],[-0.15960686  0.01303785 -0.0803657   0.98381757],[-1.07066512e-01 -8.75498853e-10 -2.21722262e-08  9.94251861e-01]
[-0.71717841 -0.36957572 -0.39070095  0.44319485],[-0.01515795  0.63958562 -0.64767932 -0.41377769],[0.20907389 0.17444852 0.51993116 0.80964648],[-0.26287916 -0.69163223  0.35621084  0.57066036],[-0.15003511  0.00323443 -0.02130932  0.98844571],[-1.00299384e-01  4.38811953e-08 -2.70564735e-07  9.94957302e-01],[ 0.001628   -0.01078593  0.14923577  0.98874147],[ 0.27066806  0.04464649  0.29045397 -0.9167235 ],[ 0.43980299  0.05038397 -0.10205637 -0.89085312],[-3.02138339e-01 -4.14398556e-08  5.68072186e-08  9.53264089e-01],[ 8.920994e-09  4.155418e-09 -3.819835e-09  1.000000e+00],[ 0.29890262 -0.02713858  0.15831217 -0.9406689 ],[ 0.54933434  0.05112629 -0.07728936 -0.83044821],[-3.82170164e-01 -2.45702351e-08  3.49756813e-08  9.24091968e-01],[-0.02281756  0.02156311 -0.149761    0.98822368],[ 0.30463336 -0.09626716  0.04428839 -0.94655675],[ 0.45455751 -0.0189818   0.03715436 -0.88973969],[-3.10962547e-01  1.04585243e-08 -2.14515580e-08  9.50422166e-01],[-0.04721578  0.04159611 -0.29730417  0.95270702],[-0.43148391  0.12520731  0.17578334  0.87592522],[-0.16073754  0.01263017 -0.07730986  0.98388369],[-1.07802510e-01  1.22438584e-08 -1.37878916e-08  9.94172329e-01]
[-0.7172287  -0.36949755 -0.39065728  0.44321715],[-0.01491629  0.63909681 -0.64787705 -0.41423193],[0.20904858 0.1744414  0.51991856 0.80966263],[-0.26273184 -0.69190825  0.35601398  0.57051644],[-0.15039083  0.00319085 -0.0209703   0.98839904],[-1.00537655e-01  2.87695075e-08 -1.82371910e-07  9.94933254e-01],[ 0.00162797 -0.01078593  0.14923577  0.98874147],[ 0.27131531  0.04566988  0.29249162 -0.91583346],[ 0.43894204  0.05131783 -0.1041666  -0.89098018],[-3.01602009e-01 -2.17403680e-08 -2.95195073e-08  9.53433914e-01],[0. 0. 0. 1.],[ 0.29971988 -0.02622807  0.16002355 -0.94014496],[ 0.54893796  0.05194107 -0.07858637 -0.83053803],[-3.81930276e-01  2.24179843e-08 -8.90284843e-09  9.24191141e-01],[-0.02281756  0.02156312 -0.149761    0.98822368],[ 0.30510525 -0.09523454  0.04581559 -0.94643653],[ 0.45452546 -0.01831961  0.03586417 -0.88982288],[-3.10919901e-01 -5.88446639e-10 -9.44838362e-09  9.50436118e-01],[-0.04721578  0.04159609 -0.29730419  0.95270701],[-0.43206588  0.1243469   0.17447463  0.87602256],[-0.16043546  0.01245948 -0.07641808  0.98400483],[-1.07591074e-01 -1.72741472e-08 -3.03969010e-08  9.94195233e-01]
[-0.717238   -0.36947875 -0.39059022  0.44327688],[-0.01510465  0.63847318 -0.64804058 -0.41493042],[0.20897092 0.17431219 0.51989261 0.80972717],[-0.26014387 -0.69087613  0.35767225  0.57191424],[-0.15313276  0.00309979 -0.01999942  0.98799837],[-1.02378203e-01  2.38285017e-08 -2.46794541e-07  9.94745547e-01],[ 0.00162798 -0.01078595  0.14923577  0.98874147],[ 0.27769044  0.04669887  0.29347648 -0.91355284],[ 0.43460874  0.05167155 -0.1061525  -0.89284766],[-2.98548208e-01  3.34768037e-08 -4.81382912e-09  9.54394555e-01],[ 3.72092779e-09 -2.02546016e-08 -7.60104246e-09  1.00000000e+00],[ 0.29949743 -0.02628467  0.15862749 -0.94045081],[ 0.54935256  0.05144011 -0.07775428 -0.83037338],[-3.82205912e-01  4.23848171e-09 -8.07616726e-09  9.24077183e-01],[-0.02281755  0.02156308 -0.14976099  0.98822368],[ 0.3052968  -0.09425851  0.04735606 -0.94639664],[ 0.45489324 -0.01780587  0.03482491 -0.88968664],[-3.11170020e-01  3.87931324e-08 -8.01642750e-08  9.50354260e-01],[-0.04721578  0.04159607 -0.2973042   0.95270701],[-0.43288976  0.12483987  0.1760284   0.87523452],[-0.15972836  0.01267424 -0.07807799  0.98398681],[-1.07128330e-01 -3.18399175e-09 -7.67567060e-08  9.94245202e-01]
