[-0.72025845 -0.36481273 -0.38869376  0.44391057],[ 0.00302413  0.61566222 -0.65829761 -0.43312255],[0.13955467 0.16198958 0.54362582 0.81163713],[-0.26152992 -0.693318    0.35169665  0.57203297],[-0.158334    0.00280009 -0.01745893  0.98722727],[-1.05869757e-01 -1.15756465e-08  7.69822460e-08  9.94380005e-01],[ 0.00162794 -0.01078594  0.14923578  0.98874147],[-0.29452558 -0.08705332 -0.26090516  0.91520757],[-0.48182561 -0.06261185  0.11263034  0.86674001],[-3.33384971e-01 -1.49951132e-08  1.96376883e-08  9.42790783e-01],[-1.35638889e-08 -4.46107546e-11  6.01237654e-09  1.00000000e+00],[-3.20040223e-01 -2.31049065e-05 -1.36240841e-01  9.37556766e-01],[-0.5767818  -0.07273566  0.10180033  0.80726016],[-4.04686976e-01  2.25999798e-08 -8.60638538e-09  9.14455276e-01],[-0.02281758  0.02156311 -0.14976098  0.98822368],[-0.300295    0.09469622 -0.04630149  0.94800407],[-0.49209785  0.02143536 -0.0378726   0.86945149],[-3.38272622e-01  4.91318467e-08 -1.31797685e-07  9.41048157e-01],[-0.04721579  0.04159607 -0.29730415  0.95270703],[-0.41149143  0.12661986  0.18026603  0.88439039],[-0.2128943   0.0189409  -0.08657088  0.97304817],[-1.43227559e-01 -1.39922219e-08  2.62108579e-08  9.89689783e-01]
[-0.72032999 -0.36470284 -0.38866477  0.44391017],[ 0.00334207  0.61538739 -0.65850166 -0.4332006 ],[0.13906542 0.16207996 0.5438196  0.81157325],[-0.26321167 -0.69433463  0.34961042  0.57130692],[-0.15584158  0.00281857 -0.0178624   0.98761652],[-1.04194766e-01  4.62658528e-08 -3.62754402e-07  9.94556912e-01],[ 0.00162798 -0.01078594  0.14923577  0.98874147],[-0.29696899 -0.08631758 -0.25884738  0.91507198],[-0.48061463 -0.06174992  0.11147325  0.86762333],[-3.32428204e-01 -4.19987158e-08  7.19490973e-08  9.43128564e-01],[ 1.35680755e-08 -1.43112198e-11 -6.07086436e-09  1.00000000e+00],[-3.20438076e-01  1.89566011e-04 -1.34770068e-01  9.37633421e-01],[-0.57685032 -0.07211122  0.10092898  0.80737663],[-4.04679426e-01 -4.01704708e-08  4.29261470e-08  9.14458617e-01],[-0.02281757  0.02156313 -0.14976101  0.98822367],[-0.30165001  0.09535243 -0.04477376  0.94758139],[-0.49106009  0.02197056 -0.03892374  0.86997829],[-3.37531289e-01 -3.38116089e-08  9.79634268e-09  9.41314309e-01],[-0.04721576  0.0415961  -0.29730419  0.95270701],[-0.41362647  0.12736891  0.18184366  0.88296273],[-0.21066734  0.01900377 -0.08781005  0.97342053],[-1.41729551e-01 -2.98758675e-09  9.07286969e-09  9.89905417e-01]
[-0.72031949 -0.36471908 -0.38867058  0.44390879],[ 0.00329809  0.61544351 -0.65846781 -0.43317265],[0.13908495 0.16200509 0.54395948 0.8114911 ],[-0.264545   -0.6952122   0.34814885  0.57051583],[-0.15437695  0.0028564  -0.01827811  0.98783881],[-1.03211002e-01  5.79167874e-09  3.11491526e-08  9.94659484e-01],[ 0.00162798 -0.01078592  0.14923577  0.98874147],[-0.2963358  -0.08518596 -0.25603037  0.91617515],[-0.48183694 -0.06093117  0.1096668   0.86723339],[-3.33237274e-01 -2.00250136e-08  3.49783014e-08  9.42842998e-01],[ 1.35824578e-08 -1.13420384e-11 -6.08804029e-09  1.00000000e+00],[-0.32046665 -0.00140516 -0.13813568  0.93713269],[-0.57669735 -0.07379528  0.10326997  0.80703763],[-4.04725130e-01 -1.27757608e-08  2.20320298e-08  9.14438390e-01],[-0.02281754  0.02156314 -0.14976101  0.98822367],[-0.30230998  0.09562197 -0.04366853  0.94739547],[-0.49061474  0.02234037 -0.03962436  0.87018848],[-3.37218064e-01  2.14376592e-08 -2.98873235e-08  9.41426565e-01],[-0.04721579  0.04159608 -0.29730419  0.95270701],[-0.4133586   0.12609579  0.17953245  0.88374352],[-0.21142298  0.0185375  -0.08535472  0.97348408],[-1.42211175e-01 -5.49995567e-11 -1.44802561e-09  9.89836341e-01]
[-0.72035592 -0.36466295 -0.38865415  0.44391016],[ 0.0035278   0.61523995 -0.65857514 -0.43329684],[0.13880336 0.16189391 0.54390416 0.81159858],[-0.26012221 -0.69408962  0.34956686  0.57304367],[-0.15874797  0.00260439 -0.01619482  0.98718287],[-1.06145845e-01  1.16186654e-08  1.62869412e-08  9.94350572e-01],[ 0.00162795 -0.01078592  0.14923578  0.98874147],[-0.29304082 -0.08775636 -0.26161896  0.91541325],[-0.48336583 -0.06373051  0.11412767  0.86560428],[-3.34605914e-01  2.74451220e-08 -7.78038058e-09  9.42358150e-01],[-2.05090200e-08 -2.66211586e-09  2.92260882e-09  1.00000000e+00],[-0.31922108 -0.00109565 -0.13751311  0.93764964],[-0.57729089 -0.07347506  0.10267567  0.80671826],[-4.05145220e-01  2.55259791e-08 -3.00249884e-09  9.14252345e-01],[-0.02281759  0.02156311 -0.14976098  0.98822368],[-0.29963347  0.09348322 -0.04752213  0.94827334],[-0.49296763  0.0210028  -0.03702374  0.86900578],[-3.38895158e-01  1.89293852e-08 -6.71916532e-08  9.40824145e-01],[-0.04721579  0.0415961  -0.29730417  0.95270702],[-0.41002663  0.12570489  0.17959922  0.88533641],[-0.21446462  0.01881218 -0.08533264  0.97281518],[-1.44279211e-01  1.05226698e-08  1.36245639e-08  9.89537018e-01]
[-0.72040541 -0.36458844 -0.38865297  0.44389209],[ 0.00379381  0.615235   -0.65867167 -0.43315486],[0.13863795 0.16206121 0.54376417 0.81168726],[-0.26167047 -0.69329767  0.35101849  0.57240976],[-0.15904602  0.00290872 -0.01805311  0.98710181],[-1.06349764e-01 -2.33093505e-08  1.43519824e-07  9.94328782e-01],[ 0.00162797 -0.01078591  0.14923577  0.98874147],[-0.29624632 -0.08759561 -0.26121437  0.91451199],[-0.48142864 -0.06337563  0.11409471  0.86671356],[-3.33170022e-01 -1.08461495e-09  7.29966425e-09  9.42866765e-01],[ 1.35833265e-08 -6.90039137e-11 -6.10290300e-09  1.00000000e+00],[-3.20432585e-01 -7.07022824e-04 -1.36910305e-01  9.37324932e-01],[-0.57663553 -0.07310112  0.10233833  0.80726362],[-4.04610929e-01 -7.87892736e-09  2.50549534e-08  9.14488926e-01],[-0.02281755  0.02156312 -0.14976098  0.98822368],[-0.30033106  0.09409194 -0.04616476  0.94805948],[-0.49250482  0.02159565 -0.03811346  0.86920653],[-3.38575409e-01  3.45952286e-08 -3.14187134e-08  9.40939261e-01],[-0.04721576  0.04159609 -0.29730417  0.95270702],[-0.41341545  0.12588748  0.17913315  0.88382766],[-0.21110301  0.01841889 -0.08494675  0.97359145],[-1.41988444e-01 -2.10316082e-08  2.30942480e-08  9.89868315e-01]
[-0.72043212 -0.36454824 -0.38865284  0.44388187],[ 0.00384207  0.61530071 -0.6587228  -0.43298331],[0.138558   0.16186781 0.5439541  0.81161224],[-0.26250558 -0.69358456  0.35030556  0.5721165 ],[-0.15787293  0.00293998 -0.01838518  0.98728389],[-1.05561559e-01 -1.89381694e-08  4.17551634e-08  9.94412770e-01],[ 0.00162796 -0.01078591  0.14923577  0.98874147],[-0.2938636  -0.08755355 -0.26080495  0.91540119],[-0.48344317 -0.06323391  0.11323466  0.86571478],[-3.34614652e-01  1.04801186e-08 -5.28151984e-08  9.42355047e-01],[-2.04439800e-08 -2.71636114e-09  2.80653678e-09  1.00000000e+00],[-3.21721844e-01 -5.39071037e-04 -1.34871100e-01  9.37179039e-01],[-0.57607125 -0.07231235  0.10140741  0.8078548 ],[-4.04106442e-01  2.39587142e-08 -2.86811209e-08  9.14711968e-01],[-0.02281759  0.0215631  -0.14976097  0.98822368],[-0.29962924  0.09451441 -0.044511    0.94831857],[-0.49267196  0.02228277 -0.0393053   0.86904138],[-3.38719996e-01  2.07662883e-08 -2.64316902e-08  9.40887222e-01],[-0.0472158   0.04159606 -0.29730417  0.95270702],[-0.41446418  0.12714763  0.18196931  0.88257583],[-0.20993753  0.01878026 -0.08709909  0.97364639],[-1.41224099e-01  1.49535139e-09 -8.45389796e-09  9.89977653e-01]
[-0.72047569 -0.36448275 -0.38865379  0.4438641 ],[ 0.00412856  0.61528468 -0.6588028  -0.43288173],[0.13801693 0.16184989 0.54429912 0.81147668],[-0.26472405 -0.69387098  0.34969885  0.57111728],[-0.15604582  0.00307271 -0.01944558  0.98755361],[-1.04335251e-01 -2.22021699e-08  1.38337908e-07  9.94542184e-01],[ 0.00162796 -0.01078591  0.14923579  0.98874147],[-0.29182905 -0.08704371 -0.25991806  0.91635244],[-0.48481684 -0.06294044  0.11230869  0.86508837],[-3.35582061e-01 -3.98083893e-09 -1.06979158e-08  9.42010977e-01],[-2.03572412e-08 -2.82007373e-09  2.67307021e-09  1.00000000e+00],[-0.32164011 -0.00111514 -0.13644884  0.93697818],[-0.57600399 -0.07305835  0.10244657  0.80770451],[-4.04126892e-01  1.53439249e-08 -4.05946592e-08  9.14702933e-01],[-0.02281758  0.02156312 -0.14976098  0.98822368],[-0.30043354  0.09479018 -0.04447764  0.94803811],[-0.49195836  0.02219841 -0.03923177  0.86945102],[-3.38195402e-01  6.72401477e-08 -5.45929729e-08  9.41075911e-01],[-0.04721582  0.04159606 -0.29730417  0.95270702],[-0.41484717  0.12656136  0.18021595  0.88283988],[-0.20982757  0.01841982 -0.08548741  0.9738198 ],[-1.41128391e-01 -2.43931437e-09 -1.01776358e-11  9.89991302e-01]
[-0.72055618 -0.36436    -0.38863413  0.44385143],[ 0.00427527  0.61526264 -0.65900314 -0.4326066 ],[0.13789357 0.16174109 0.54403495 0.81169647],[-0.26269359 -0.69336321  0.35101134  0.57186587],[-0.15806946  0.00294911 -0.01841921  0.98725178],[-1.05693766e-01 -1.75071366e-08  1.44914378e-07  9.94398727e-01],[ 0.00162797 -0.01078593  0.14923578  0.98874147],[-0.2942687  -0.08730339 -0.26009342  0.91549739],[-0.48293614 -0.0628077   0.11264049  0.86610623],[-3.34207313e-01 -2.48951755e-08  4.40438160e-08  9.42499587e-01],[0. 0. 0. 1.],[-0.31923036 -0.00190233 -0.13876581  0.93746062],[-0.57734677 -0.07423186  0.1036924   0.80647891],[-4.05261302e-01 -5.62953983e-09  1.35567228e-08  9.14200895e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[-0.2998876   0.09413182 -0.04525571  0.94823971],[-0.49256539  0.02191176 -0.03866361  0.86914   ],[-3.38629932e-01 -2.47623718e-08  4.24745360e-08  9.40919640e-01],[-0.04721578  0.04159608 -0.29730419  0.95270701],[-0.41173921  0.12495432  0.1766392   0.88524338],[-0.21320405  0.01805634 -0.08243381  0.97335639],[-1.43384704e-01  1.19242130e-08 -5.03616078e-08  9.89667028e-01]
[-0.72063156 -0.36424432 -0.38860455  0.44384989],[ 0.00446135  0.61508382 -0.65921638 -0.4325341 ],[0.13751345 0.16176876 0.54397468 0.81179583],[-0.26087319 -0.69301993  0.35133002  0.57291864],[-0.15978639  0.00275541 -0.01702026  0.98700103],[-1.06845701e-01  8.19146362e-09 -8.12065811e-08  9.94275614e-01],[ 0.001628   -0.01078593  0.14923577  0.98874147],[-0.29507755 -0.08789529 -0.26110424  0.91489247],[-0.48230594 -0.06315122  0.11343374  0.86632886],[-3.33783579e-01  7.68274328e-11 -1.44737756e-08  9.42649735e-01],[ 1.37364581e-08 -1.45826909e-10 -6.27598738e-09  1.00000000e+00],[-0.31933988 -0.00101986 -0.13640425  0.93777123],[-0.57756191 -0.07305026  0.10202483  0.80664542],[-4.05310318e-01 -1.03015548e-09  9.52254264e-09  9.14179165e-01],[-0.02281753  0.02156313 -0.14976099  0.98822368],[-0.29943914  0.09391829 -0.04578237  0.94837731],[-0.49286988  0.0217373  -0.03832524  0.86898674],[-3.38846997e-01  3.01326072e-08 -8.15214893e-08  9.40841492e-01],[-0.04721576  0.04159609 -0.29730419  0.95270702],[-0.41259665  0.12642063  0.179841    0.88399041],[-0.21173653  0.01858422 -0.08543669  0.97340785],[-1.42425438e-01  1.51891589e-08 -1.73818974e-08  9.89805534e-01]
[-0.72069007 -0.36415729 -0.38861947  0.44381326],[ 0.00487079  0.61520164 -0.65929215 -0.43224656],[0.1377319  0.16185549 0.54424571 0.81155981],[-0.26501139 -0.69425218  0.34914284  0.57086088],[-0.15498316  0.00297404 -0.01895433  0.98773079],[-1.03619852e-01 -1.65759827e-08  9.31342670e-08  9.94616975e-01],[ 0.00162796 -0.01078593  0.14923579  0.98874147],[-0.29184752 -0.08596167 -0.25676908  0.91733596],[-0.48531314 -0.06189614  0.11033859  0.86513896],[-3.35844397e-01 -2.13748948e-08  3.81640459e-08  9.41917481e-01],[0. 0. 0. 1.],[-0.31860031 -0.00206107 -0.1384849   0.93771612],[-0.57740917 -0.07408024  0.10346908  0.80647686],[-4.05293917e-01 -1.23692321e-08  1.04460041e-08  9.14186437e-01],[-0.02281756  0.02156314 -0.14976098  0.98822368],[-0.30051266  0.0954949  -0.0424453   0.94803548],[-0.49165176  0.0229296  -0.04055366  0.86954481],[-3.37995856e-01  4.71084362e-08 -8.45595947e-08  9.41147598e-01],[-0.04721576  0.04159607 -0.29730416  0.95270702],[-0.40957292  0.12513289  0.1771921   0.88611215],[-0.21453313  0.01829228 -0.08296486  0.97301478],[-1.44295120e-01  7.04591913e-11 -6.89726673e-08  9.89534698e-01]
