[-0.62122427 -0.47687917 -0.29545399  0.54715044],[-0.71692263  0.2736307  -0.43002938 -0.47562897],[0.28944635 0.07472581 0.15946044 0.94085558],[ 0.24564552  0.74429504 -0.33285787 -0.5242984 ],[ 0.1231982  -0.008048    0.06468762 -0.99023883],[-8.24474809e-02  1.70555980e-08 -6.54023758e-08  9.96595411e-01],[ 0.00162798 -0.01078592  0.14923577  0.98874147],[ 0.45841464  0.02168907  0.2543951  -0.85127477],[ 0.44261285  0.01684732 -0.03410111 -0.89590577],[-3.02320421e-01  1.56104782e-08 -3.49843639e-08  9.53206359e-01],[ 3.32549521e-09 -1.67645842e-09 -1.86046822e-09  1.00000000e+00],[ 0.1941071  -0.10683922  0.13547552 -0.96568846],[ 0.05814582  0.00228853 -0.03926123 -0.99753315],[-3.88085159e-02 -8.26287122e-10  2.10237842e-09  9.99246666e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.14370427 -0.16121418  0.01586763 -0.97627214],[ 0.06695246 -0.00245627  0.03658054 -0.99708234],[-4.46872925e-02  4.89080828e-10  4.61587626e-08  9.99001024e-01],[-0.04721578  0.04159609 -0.29730417  0.95270702],[ 0.16671943 -0.11315893 -0.21388364 -0.95585222],[ 0.07234877 -0.00566905  0.07791136 -0.99431551],[-4.84087288e-02  9.76501575e-09 -1.03314353e-07  9.98827610e-01]
[-0.62170979 -0.47633949 -0.29554058  0.5470223 ],[-0.7178177   0.27527268 -0.42965275 -0.47366783],[0.29172225 0.07501702 0.16058302 0.93993812],[ 0.24292255  0.74415571 -0.33303348 -0.52565161],[ 0.12485758 -0.00791234  0.062747   -0.99015695],[-8.35513650e-02  2.66470368e-08  4.36612001e-08  9.96503472e-01],[ 0.00162798 -0.01078593  0.14923579  0.98874147],[ 0.45777724  0.02320676  0.25662119 -0.85090952],[ 0.44334525  0.0180307  -0.03641694 -0.89542933],[-3.02878886e-01 -4.50034513e-08  9.20062757e-08  9.53029055e-01],[ 2.96380831e-09 -1.64448644e-09 -2.24918639e-09  1.00000000e+00],[ 0.19519905 -0.1073548   0.13306688 -0.96574608],[ 0.05760086  0.0021831  -0.03781041 -0.99762104],[-3.84423491e-02 -2.43515694e-09  6.07890542e-08  9.99260820e-01],[-0.02281755  0.02156312 -0.14976098  0.98822368],[ 0.14439157 -0.16141858  0.01825304 -0.97609525],[ 0.0670663  -0.00232823  0.03461607 -0.99714513],[-4.47602142e-02  6.85628326e-09 -5.91614776e-08  9.98997759e-01],[-0.04721578  0.04159608 -0.29730416  0.95270702],[ 0.16733247 -0.11424506 -0.21549329 -0.95525418],[ 0.07164389 -0.00573289  0.0795576  -0.99423582],[-4.79428263e-02  4.44691515e-09 -8.46930228e-08  9.98850082e-01]
[-0.62266198 -0.47527299 -0.29568814  0.54678713],[-0.71912471  0.27773197 -0.42981769 -0.47008654],[0.2919741  0.07535876 0.16253829 0.9394964 ],[ 0.24359715  0.7439116  -0.33394274 -0.52510781],[ 0.12524905 -0.00821543  0.06493429 -0.989964  ],[-8.38262649e-02  2.84104345e-08 -1.02935598e-07  9.96480385e-01],[ 0.00162797 -0.01078593  0.14923578  0.98874147],[ 0.45503765  0.0207715   0.25236836 -0.85370926],[ 0.44529432  0.01644746 -0.03304391 -0.89462313],[-3.04232729e-01 -1.13385704e-08  3.98975615e-08  9.52597736e-01],[-1.11510734e-09 -3.46578900e-09  2.47607068e-09  1.00000000e+00],[ 0.19316446 -0.10758419  0.13500923 -0.96586005],[ 0.05841819  0.00229385 -0.03916896 -0.99752085],[-3.89903057e-02 -1.54112350e-09  5.76511236e-09  9.99239589e-01],[-0.02281756  0.02156311 -0.14976099  0.98822368],[ 0.14406258 -0.16283456  0.01574455 -0.97595235],[ 0.06690572 -0.00246154  0.03668464 -0.99708164],[-4.46562561e-02  1.07348543e-08 -1.57483235e-07  9.99002412e-01],[-0.04721578  0.04159608 -0.29730416  0.95270702],[ 0.16329277 -0.11365317 -0.21303855 -0.95657358],[ 0.07499971 -0.00581847  0.07712856 -0.99417925],[-5.01816404e-02 -4.63482304e-09  1.21428379e-09  9.98740108e-01]
[-0.62421815 -0.47346662 -0.29572094  0.54656215],[-0.72240716  0.28067811 -0.42966397 -0.46339676],[0.29021936 0.0744116  0.16317896 0.9400044 ],[ 0.2455447   0.74460184 -0.3328088  -0.52394103],[ 0.12448189 -0.00840227  0.06681939 -0.98993375],[-8.33215739e-02 -1.32931006e-09  5.08157984e-08  9.96522712e-01],[ 0.00162798 -0.01078592  0.14923577  0.98874147],[ 0.45001501  0.02034813  0.25215272 -0.85644116],[ 0.44786739  0.01690304 -0.03371438 -0.89330422],[-3.06092192e-01  1.54832054e-08 -2.79717611e-08  9.52001875e-01],[ 2.40970000e-09 -1.40211676e-09 -3.54805985e-09  1.00000000e+00],[ 0.19284738 -0.10749869  0.13467226 -0.96597997],[ 0.05826448  0.0022908  -0.03922124 -0.99752779],[-3.88877052e-02  2.98130196e-10  1.48640378e-08  9.99243587e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.14170229 -0.16259397  0.01480333 -0.97635266],[ 0.06810893 -0.00256464  0.03754072 -0.99696805],[-4.54616393e-02  4.16792328e-09 -3.72694047e-08  9.98966085e-01],[-0.04721578  0.04159609 -0.29730417  0.95270702],[ 0.16437385 -0.11308318 -0.21331347 -0.95639469],[ 0.07391343 -0.00571913  0.076933   -0.99427632],[-4.94531658e-02 -2.46651568e-09  3.84731003e-08  9.98776444e-01]
[-0.62421815 -0.47346662 -0.29572094  0.54656215],[-0.72240716  0.28067811 -0.42966397 -0.46339676],[0.29021936 0.0744116  0.16317896 0.9400044 ],[ 0.2455447   0.74460184 -0.3328088  -0.52394103],[ 0.12448189 -0.00840227  0.06681939 -0.98993375],[-8.33215739e-02 -1.32931006e-09  5.08157984e-08  9.96522712e-01],[ 0.00162798 -0.01078592  0.14923577  0.98874147],[ 0.45001501  0.02034813  0.25215272 -0.85644116],[ 0.44786739  0.01690304 -0.03371438 -0.89330422],[-3.06092192e-01  1.54832054e-08 -2.79717611e-08  9.52001875e-01],[ 2.40970000e-09 -1.40211676e-09 -3.54805985e-09  1.00000000e+00],[ 0.19284738 -0.10749869  0.13467226 -0.96597997],[ 0.05826448  0.0022908  -0.03922124 -0.99752779],[-3.88877052e-02  2.98130196e-10  1.48640378e-08  9.99243587e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.14170229 -0.16259397  0.01480333 -0.97635266],[ 0.06810893 -0.00256464  0.03754072 -0.99696805],[-4.54616393e-02  4.16792328e-09 -3.72694047e-08  9.98966085e-01],[-0.04721578  0.04159609 -0.29730417  0.95270702],[ 0.16437385 -0.11308318 -0.21331347 -0.95639469],[ 0.07391343 -0.00571913  0.076933   -0.99427632],[-4.94531658e-02 -2.46651568e-09  3.84731003e-08  9.98776444e-01]
[-0.62635207 -0.47096045 -0.29570042  0.54629718],[-0.72648472  0.28326736 -0.43068455 -0.45441211],[0.29077662 0.07421732 0.16373227 0.93975129],[ 0.24330627  0.74468481 -0.3325963  -0.52500124],[ 0.12554523 -0.00824483  0.06500994 -0.98992127],[-8.40256049e-02 -1.13605962e-08  5.62725366e-08  9.96463596e-01],[ 0.00162797 -0.01078592  0.14923577  0.98874147],[ 0.45309221  0.02187035  0.25479949 -0.85399435],[ 0.44447699  0.01848072 -0.03720554 -0.89482647],[-3.03703649e-01  1.15825858e-08 -2.38475687e-08  9.52766547e-01],[0. 0. 0. 1.],[ 0.19234388 -0.10721719  0.1339879  -0.96620678],[ 0.05806501  0.00228168 -0.03919871 -0.99754033],[-3.87544245e-02 -3.84073826e-09  9.70912205e-08  9.99248765e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.14302518 -0.1636239   0.01448447 -0.97599243],[ 0.06714835 -0.00254145  0.03773503 -0.99702593],[-4.48201503e-02  3.79925426e-09  4.93595903e-09  9.98995072e-01],[-0.04721578  0.04159609 -0.29730416  0.95270702],[ 0.16443232 -0.11363131 -0.21409897 -0.95614412],[ 0.07336735 -0.00576376  0.07810676 -0.994225  ],[-4.90918605e-02  2.76279558e-09 -6.89475239e-09  9.98794268e-01]
[-0.62789247 -0.46915656 -0.29573061  0.54606463],[-0.72977266  0.28577137 -0.43054435 -0.44765852],[0.29059492 0.07391405 0.16341876 0.93988596],[ 0.2441648   0.74438328 -0.33390605 -0.52419827],[ 0.12535409 -0.00844813  0.06670961 -0.9898307 ],[-8.39068683e-02  2.29790002e-08  3.30069034e-08  9.96473601e-01],[ 0.00162797 -0.01078592  0.14923577  0.98874147],[ 0.45419101  0.02112214  0.25445385 -0.85353244],[ 0.4432745   0.01820262 -0.03677049 -0.89544643],[-3.02833126e-01 -8.02390722e-08  1.62529093e-07  9.53043597e-01],[-1.27471222e-09  3.56645735e-09 -3.45265327e-09  1.00000000e+00],[ 0.19306366 -0.10619716  0.13306734 -0.96630309],[ 0.0576809   0.00227555 -0.03935391 -0.99755652],[-3.84981014e-02 -9.10991033e-09  1.23670379e-07  9.99258673e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.14407217 -0.16324049  0.0138091  -0.97591242],[ 0.06671523 -0.0025426   0.03799755 -0.99704503],[-4.45312197e-02  3.17451398e-09 -7.51436795e-08  9.99007993e-01],[-0.04721578  0.04159609 -0.29730417  0.95270702],[ 0.16510863 -0.11327437 -0.21405775 -0.95607915],[ 0.07264745 -0.00565172  0.07735549 -0.99433723],[-4.86067207e-02  4.18470840e-10 -2.48782299e-08  9.98817995e-01]
[-0.62911948 -0.46772675 -0.29579671  0.54584308],[-0.73248381  0.28818724 -0.42998025 -0.44219064],[0.2898207  0.07318341 0.16332386 0.94019863],[ 0.24566466  0.74545558 -0.33192963 -0.52322803],[ 0.12352838 -0.00837026  0.06708481 -0.99003551],[-8.26825944e-02  8.28126144e-09 -5.69608661e-08  9.96575932e-01],[ 0.00162798 -0.01078592  0.14923577  0.98874147],[ 0.45821772  0.02027531  0.25210821 -0.85209558],[ 0.44007122  0.01754115 -0.03575739 -0.89707917],[-3.00518835e-01  8.25537983e-09 -4.60600891e-08  9.53775880e-01],[0. 0. 0. 1.],[ 0.19365128 -0.10622985  0.13279537 -0.96621933],[ 0.05763057  0.00228786 -0.0396019  -0.99754958],[-3.84648779e-02 -6.01525853e-09  1.03938234e-07  9.99259953e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.14538385 -0.16386516  0.0149669  -0.97559609],[ 0.06632039 -0.00245346  0.03688685 -0.99711331],[-4.42655320e-02  1.87765789e-09 -1.21303252e-07  9.99019801e-01],[-0.04721578  0.04159608 -0.29730419  0.95270701],[ 0.16836941 -0.11362715 -0.2137748  -0.95553176],[ 0.07086744 -0.00544558  0.07642181 -0.99453902],[-4.74108759e-02 -5.83504173e-09  3.79917114e-08  9.98875472e-01]
[-0.63021114 -0.46647432 -0.29593702  0.54557942],[-0.73444065  0.29067904 -0.42964361 -0.43761741],[0.28999155 0.07322837 0.1633618  0.94013586],[ 0.24552656  0.74560315 -0.33198243 -0.52304906],[ 0.12443338 -0.00847863  0.06745013 -0.98989642],[-8.32926128e-02 -1.69936782e-08  4.62730515e-08  9.96525133e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[ 0.45933472  0.0202945   0.25273889 -0.85130653],[ 0.43888425  0.01781723 -0.03644067 -0.89762756],[-2.99677007e-01 -9.21010568e-08  1.36984166e-07  9.54040718e-01],[ 1.44862033e-09 -1.24225719e-09 -4.33997600e-09  1.00000000e+00],[ 0.1934563  -0.10667969  0.13263488 -0.96623087],[ 0.05792473  0.00228924 -0.03942419 -0.99753958],[-3.86611102e-02 -6.61474173e-09  9.92819781e-08  9.99252380e-01],[-0.02281756  0.02156312 -0.149761    0.98822368],[ 0.14449931 -0.1640907   0.01389623 -0.97570543],[ 0.06703726 -0.0025487   0.03790628 -0.99702689],[-4.47461886e-02 -5.03994522e-09  4.74934221e-08  9.98998388e-01],[-0.04721578  0.04159608 -0.29730415  0.95270703],[ 0.16826469 -0.11423155 -0.21646463 -0.95487235],[ 0.0716723  -0.00568395  0.07885209 -0.99429026],[-4.79591265e-02  1.34199718e-09  2.76674300e-08  9.98849299e-01]
[-0.63114674 -0.46540229 -0.29607117  0.5453406 ],[-0.73639251  0.2931887  -0.42877999 -0.43349067],[0.28961184 0.07329963 0.16355315 0.94021408],[ 0.24256049  0.74572263 -0.33235861 -0.52402283],[ 0.12659403 -0.00839206  0.0656119  -0.98974674],[-8.47335653e-02  4.39088376e-09 -3.08889430e-08  9.96403645e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[ 0.45454947  0.02240724  0.25367802 -0.85353978],[ 0.44269702  0.01846326 -0.03735634 -0.8957025 ],[-3.02426855e-01 -5.21720417e-08  1.11863376e-07  9.53172596e-01],[ 1.00011333e-09 -6.82595600e-10  1.05309628e-09  1.00000000e+00],[ 0.19287925 -0.10739325  0.13029001 -0.96658616],[ 0.05826266  0.00220097 -0.03768515 -0.99758731],[-3.88841600e-02 -8.62185635e-09  1.43726797e-07  9.99243725e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.14376246 -0.16441889  0.01045508 -0.97580196],[ 0.06771962 -0.00275207  0.0405117  -0.99687777],[-4.52067763e-02  6.49139533e-09 -1.41689607e-07  9.98977651e-01],[-0.04721578  0.04159609 -0.29730416  0.95270702],[ 0.16766586 -0.11471248 -0.21714832 -0.9547648 ],[ 0.07275195 -0.00581071  0.07940392 -0.99416719],[-4.86846020e-02 -1.11974929e-09 -5.03110651e-09  9.98814202e-01]
