[-0.62594875 -0.46905942 -0.28748973  0.55273961],[-0.78797465  0.24683908 -0.38522356 -0.41203062],[0.16682642 0.07207282 0.22076104 0.95824789],[ 0.28916705  0.73128013 -0.3398523  -0.51586065],[ 0.18792124 -0.00667628  0.03487136 -0.98154217],[-1.25859772e-01  2.14286056e-08 -5.18379495e-08  9.92048042e-01],[ 0.00162797 -0.01078592  0.1492358   0.98874147],[ 0.57610042  0.04082821  0.14200131 -0.80391354],[ 0.64995989  0.03304611 -0.03855288 -0.75827025],[-4.59124289e-01  2.71831369e-08 -4.37469390e-08  8.88372043e-01],[-5.03568100e-09 -5.91931100e-09  1.09082809e-09  1.00000000e+00],[ 0.54126829  0.0165773   0.05306592 -0.83901004],[ 0.75458352  0.08279341 -0.07099767 -0.64707673],[-5.50578706e-01  6.76419516e-09 -4.67229198e-09  8.34783258e-01],[-0.02281757  0.02156311 -0.14976099  0.98822368],[ 0.5103292  -0.04915787  0.01591812 -0.85842543],[ 0.64503182  0.00087594 -0.00103779 -0.7641545 ],[-4.54501243e-01  5.72323202e-07 -6.85537802e-07  8.90746103e-01],[-0.04721579  0.04159609 -0.29730417  0.95270702],[ 0.17017898 -0.17555238 -0.01034487 -0.96959448],[ 4.98289800e-02 -5.03173762e-04  1.00845919e-02 -9.98706724e-01],[-3.32301768e-02 -1.72233776e-10  5.03138419e-08  9.99447725e-01]
[-0.62649403 -0.46843572 -0.28754949  0.55261967],[-0.78944506  0.24793001 -0.38430703 -0.40940848],[0.16830206 0.07302881 0.22056852 0.95796176],[ 0.28974125  0.73066457 -0.33984754 -0.51641354],[ 0.18736967 -0.00683838  0.03582534 -0.98161214],[-1.25491845e-01 -1.14890055e-08  4.40149257e-08  9.92094651e-01],[ 0.00162799 -0.01078593  0.14923577  0.98874147],[ 0.57354246  0.03677374  0.13709701 -0.80678445],[ 0.65234961  0.02953055 -0.03424823 -0.7565679 ],[-4.60907918e-01 -1.12776131e-07  1.21726439e-07  8.87447965e-01],[ 7.42211000e-09 -2.14266782e-09 -4.85485000e-09  1.00000000e+00],[ 0.54278488  0.01580695  0.05098323 -0.83817387],[ 0.75377439  0.08147129 -0.07006977 -0.64828761],[-5.49731831e-01  3.45318357e-08 -2.43934229e-08  8.35341196e-01],[-0.02281754  0.02156312 -0.14976099  0.98822368],[ 0.51193153 -0.05058867  0.01239455 -0.85744578],[ 0.64348406 -0.00132213  0.00157277 -0.76545675],[-4.53264585e-01  2.16293806e-06 -2.57133298e-06  8.91376024e-01],[-0.04721578  0.04159608 -0.29730419  0.95270701],[ 0.17052807 -0.17487299 -0.01319313 -0.96962135],[ 4.89795780e-02 -6.08141025e-04  1.24008985e-02 -9.98722609e-01],[-3.26642834e-02  1.87300962e-08 -3.90186748e-07  9.99466380e-01]
[-0.62686666 -0.46801637 -0.28761505  0.55251828],[-0.79045896  0.24903526 -0.38340626 -0.40762203],[0.16905571 0.07173897 0.21995815 0.95806685],[ 0.29115316  0.7314817  -0.33836065 -0.5154381 ],[ 0.18501156 -0.00681591  0.03617959 -0.98204649],[-1.23901644e-01  2.77897187e-08 -1.06101690e-07  9.92294504e-01],[ 0.00162798 -0.01078592  0.14923578  0.98874147],[ 0.57349316  0.03691154  0.13602447 -0.80699472],[ 0.65203551  0.02955653 -0.03430696 -0.75683495],[-4.60656461e-01 -6.43823185e-08  5.46944748e-08  8.87578518e-01],[ 7.20528437e-09 -1.37599800e-09 -5.09444900e-09  1.00000000e+00],[ 0.54369932  0.01778666  0.05230238 -0.83745994],[ 0.75295274  0.08282369 -0.07138102 -0.6489277 ],[-5.49133549e-01  1.57206589e-08 -1.68053148e-08  8.35734615e-01],[-0.02281755  0.02156312 -0.14976099  0.98822368],[ 0.51271832 -0.05044979  0.0103393  -0.857011  ],[ 0.64305931 -0.00198666  0.00236592 -0.76581015],[-4.52926656e-01  5.69475026e-07 -6.72639230e-07  8.91547780e-01],[-0.04721577  0.04159608 -0.29730416  0.95270702],[ 0.17540408 -0.17339925 -0.00850482 -0.96906851],[ 4.66744172e-02 -3.65315126e-04  7.81750542e-03 -9.98879498e-01],[-3.11247702e-02  4.39534278e-09 -1.27428222e-07  9.99515507e-01]
[-0.62678225 -0.46809002 -0.28752829  0.5525968 ],[-0.79140316  0.24896305 -0.38193407 -0.40721592],[0.17100741 0.07083991 0.21895851 0.95801636],[ 0.29051366  0.73123517 -0.33946322 -0.51542377],[ 0.18616143 -0.00681167  0.03592567 -0.98183851],[-1.24676613e-01  8.07781544e-09 -1.58413573e-08  9.92197431e-01],[ 0.00162796 -0.01078593  0.14923578  0.98874147],[ 0.57590315  0.04074243  0.14061783 -0.80430233],[ 0.64972806  0.0329024  -0.03840966 -0.75848242],[-4.58932316e-01  2.58700661e-08 -2.94172610e-09  8.88471231e-01],[-6.83533681e-09  5.67180432e-10  4.95490841e-09  1.00000000e+00],[ 0.5440275   0.01649455  0.04951587 -0.83744265],[ 0.75310399  0.08074241 -0.06960333 -0.64920753],[-5.49067244e-01 -9.28218975e-09  1.87644277e-08  8.35778177e-01],[-0.02281757  0.02156312 -0.14976099  0.98822368],[ 0.51464654 -0.04818936  0.01318846 -0.85594555],[ 6.42072657e-01 -3.43861257e-04  4.10574117e-04 -7.66643604e-01],[-4.52136655e-01  7.97441634e-06 -9.53503341e-06  8.91948678e-01],[-0.04721578  0.04159608 -0.29730413  0.95270703],[ 0.17769103 -0.17366564 -0.00771781 -0.96861064],[ 4.48908864e-02 -3.34607107e-04  7.44498091e-03 -9.98964098e-01],[-2.99347942e-02  2.84052306e-08 -7.91646463e-07  9.99551854e-01]
[-0.62648486 -0.46837713 -0.28731602  0.55280113],[-0.79245741  0.24768055 -0.38046265 -0.40732515],[0.17130256 0.07170662 0.21870683 0.95795664],[ 0.28912406  0.73076121 -0.34025858 -0.51635205],[ 0.18773687 -0.00662875  0.0346587  -0.9815853 ],[-1.25734330e-01 -4.47920750e-09  5.53330901e-08  9.92063949e-01],[ 0.00162797 -0.01078591  0.14923577  0.98874147],[ 0.57822638  0.04168796  0.14156607 -0.80241848],[ 0.64805423  0.03321941 -0.03895117 -0.75987169],[-4.57603424e-01  2.29426436e-08 -2.22103672e-08  8.89156401e-01],[-3.3061390e-09  8.7863965e-09 -3.1402152e-09  1.0000000e+00],[ 0.54386316  0.015773    0.04825019 -0.83763715],[ 0.75351997  0.07976374 -0.06869373 -0.64894266],[-5.49343882e-01 -3.99334287e-08  3.93550033e-08  8.35596373e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.51467837 -0.04651368  0.01545047 -0.85598127],[ 6.42412326e-01  6.75019623e-04 -8.05285143e-04 -7.66358466e-01],[-4.52407951e-01 -3.02754212e-07  3.72023560e-07  8.91811104e-01],[-0.0472158   0.04159609 -0.29730417  0.95270702],[ 0.17531036 -0.17407568 -0.01202621 -0.96892688],[ 4.72176523e-02 -5.68768198e-04  1.20296385e-02 -9.98812023e-01],[-3.14885345e-02  1.67116261e-08 -4.72602756e-07  9.99504113e-01]
[-0.62564971 -0.46925953 -0.2869808   0.55317262],[-0.79291487  0.24530543 -0.37878864 -0.40942694],[0.17160032 0.0712505  0.21887637 0.95789865],[ 0.29339454  0.73214731 -0.33775147 -0.51361845],[ 0.18395236 -0.00683579  0.03650071 -0.98223342],[-1.23188252e-01  1.95056354e-08 -1.59006952e-07  9.92383320e-01],[ 0.00162798 -0.01078592  0.14923574  0.98874148],[ 0.57541398  0.03795774  0.13551337 -0.80566376],[ 0.65086136  0.02893688 -0.03369545 -0.75789627],[-4.59690715e-01  2.63161022e-08 -4.34194668e-08  8.88079077e-01],[ 6.88472964e-09  2.14936970e-10 -4.16557480e-09  1.00000000e+00],[ 0.54324283  0.01918236  0.05282159 -0.83769275],[ 0.75324017  0.08338159 -0.07178465 -0.648478  ],[-5.49443163e-01 -2.90890456e-09  1.23697324e-08  8.35531095e-01],[-0.02281755  0.02156313 -0.14976099  0.98822368],[ 0.51310768 -0.04893231  0.01005343 -0.85686934],[ 0.64325778 -0.00278487  0.00331464 -0.76563744],[-4.53087517e-01 -1.75023339e-07  2.01060521e-07  8.91466041e-01],[-0.04721578  0.04159609 -0.29730419  0.95270701],[ 0.17411116 -0.17379828 -0.01001712 -0.96921572],[ 4.91896150e-02 -5.20077812e-04  1.05586566e-02 -9.98733511e-01],[-3.28037371e-02 -1.07002034e-08  1.02517978e-07  9.99461813e-01]
[-0.62557835 -0.46933661 -0.28695831  0.5531996 ],[-0.79307317  0.24532271 -0.37833128 -0.40953284],[0.17220678 0.07113153 0.21856455 0.95786986],[ 0.29228867  0.73139821 -0.33978798 -0.51397288],[ 0.18592591 -0.00690679  0.03647375 -0.98186227],[-1.24520187e-01  9.56615875e-09 -8.21819818e-08  9.92217075e-01],[ 0.00162797 -0.01078594  0.14923577  0.98874147],[ 0.57581747  0.03747428  0.13479342 -0.80551887],[ 0.65057578  0.02882184 -0.03358772 -0.75815059],[-4.59457283e-01 -8.84625568e-08  9.41336930e-08  8.88199868e-01],[-4.39437147e-09 -7.36485912e-09  9.29153754e-10  1.00000000e+00],[ 0.54487372  0.01862886  0.05145513 -0.83673052],[ 0.75233369  0.08236739 -0.07113419 -0.64973038],[-5.48540346e-01 -4.71345622e-08  1.97627897e-08  8.36124087e-01],[-0.02281757  0.02156311 -0.14976099  0.98822368],[ 0.51386588 -0.04898103  0.00964476 -0.85641677],[ 0.64274339 -0.00281769  0.0033583  -0.766069  ],[-4.52676892e-01 -2.59679178e-07  3.07960215e-07  8.91674622e-01],[-0.04721578  0.04159608 -0.29730417  0.95270702],[ 0.17410869 -0.1737497  -0.01146293 -0.96920886],[ 4.92256899e-02 -5.81885886e-04  1.18055311e-02 -9.98717739e-01],[-3.28282535e-02 -3.66766850e-09  1.17006099e-07  9.99461008e-01]
[-0.62569469 -0.46920551 -0.28697681  0.55316964],[-0.79328246  0.24552305 -0.37829087 -0.40904448],[0.1707565  0.07104153 0.21898045 0.95804117],[ 0.28991732  0.73076694 -0.34160343 -0.51500944],[ 0.18839267 -0.00675877  0.03520986 -0.98143914],[-1.26179668e-01  1.31805869e-08 -1.08162166e-07  9.92007405e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[ 0.57708852  0.04185765  0.14150954 -0.80323833],[ 0.64924579  0.03342973 -0.03907261 -0.75883838],[-4.58567208e-01 -3.12878717e-08  4.22275000e-08  8.88659730e-01],[ 7.11342800e-09  3.86584100e-10 -4.23821955e-09  1.00000000e+00],[ 0.54428012  0.0171179   0.04946743 -0.83726883],[ 0.75293849  0.08074641 -0.06964228 -0.6493948 ],[-5.48920849e-01  7.83263670e-09 -1.04210782e-09  8.35874334e-01],[-0.02281756  0.02156313 -0.149761    0.98822368],[ 0.51289648 -0.04724959  0.01251401 -0.8570578 ],[ 0.6435268  -0.00081936  0.00097456 -0.76542252],[-4.53298069e-01  2.10709675e-06 -2.50089071e-06  8.91358996e-01],[-0.04721577  0.0415961  -0.29730419  0.95270701],[ 0.17527799 -0.17420423 -0.0134626  -0.96889074],[ 4.84414415e-02 -6.45234954e-04  1.33033083e-02 -9.98737219e-01],[-3.23055699e-02  1.21628210e-08 -2.59127858e-07  9.99478039e-01]
[-0.62576125 -0.46913794 -0.28701269  0.55313306],[-0.79325302  0.24585933 -0.37831321 -0.4088789 ],[0.1707444  0.07099662 0.21883982 0.95807879],[ 0.29001291  0.73107435 -0.34084773 -0.51502004],[ 0.18753628 -0.00663767  0.03474374 -0.98162058],[-1.25599281e-01 -3.66818490e-09  6.76323006e-08  9.92081055e-01],[ 0.00162797 -0.01078592  0.14923577  0.98874147],[ 0.57725311  0.04046339  0.14025509 -0.80341152],[ 0.64924662  0.0322295  -0.03767585 -0.75896022],[-4.58519170e-01  3.39072635e-08 -1.99826904e-08  8.88684517e-01],[-2.64101002e-09  9.73171058e-09 -2.52626915e-09  1.00000000e+00],[ 0.54456526  0.01714684  0.04929688 -0.83709288],[ 0.75277795  0.08066124 -0.06960501 -0.64959547],[-5.48770309e-01 -4.48524452e-08  3.42118298e-08  8.35973174e-01],[-0.02281756  0.02156314 -0.14976099  0.98822368],[ 0.51350244 -0.0480051   0.01132046 -0.85666948],[ 0.64294914 -0.00153805  0.00183221 -0.76590513],[-4.52837667e-01  4.96322120e-08 -5.33182090e-08  8.91592983e-01],[-0.04721579  0.04159609 -0.29730419  0.95270701],[ 0.17439052 -0.17441501 -0.01400698 -0.96900524],[ 4.85643513e-02 -6.76049840e-04  1.39029196e-02 -9.98723062e-01],[-3.23878487e-02  3.38082231e-09 -6.92326314e-08  9.99475376e-01]
[-0.62604236 -0.46883732 -0.28711302  0.55301776],[-0.79324208  0.24662354 -0.37871154 -0.40807034],[0.17202445 0.07055135 0.21838949 0.95798545],[ 0.29306531  0.73173495 -0.33955593 -0.51320411],[ 0.18456922 -0.00680409  0.03620574 -0.98212884],[-1.23603193e-01  1.29962439e-08 -1.02084625e-07  9.92331724e-01],[ 0.00162798 -0.01078592  0.14923577  0.98874147],[ 0.574497    0.03775056  0.13703715 -0.80607004],[ 0.65121992  0.03012936 -0.03504563 -0.75748045],[-4.60022144e-01 -9.20332944e-08  7.97938438e-08  8.87907443e-01],[ 6.75263086e-09  5.20135077e-10 -4.40412799e-09  1.00000000e+00],[ 0.54456654  0.01842439  0.05098256 -0.83696392],[ 0.75256946  0.08219773 -0.07094016 -0.64949999],[-5.48732842e-01 -1.66685588e-08  1.98961375e-08  8.35997768e-01],[-0.02281755  0.02156311 -0.149761    0.98822368],[ 0.5139538  -0.04926154  0.0095945  -0.85634849],[ 0.6424403  -0.00248925  0.00296931 -0.76632594],[-4.52433816e-01 -4.21400066e-07  4.95753790e-07  8.91797983e-01],[-0.04721578  0.04159608 -0.29730416  0.95270702],[ 0.17681634 -0.17371026 -0.01000286 -0.9687418 ],[ 4.76135443e-02 -4.69194980e-04  9.84300359e-03 -9.98817223e-01],[-3.17519040e-02  1.38179865e-08 -2.98633194e-07  9.99495781e-01]
