[-0.58482232 -0.51113533 -0.27364861  0.56730942],[-0.81122081  0.14782923 -0.25313321 -0.50595543],[0.11972328 0.10057741 0.06651787 0.9854572 ],[ 0.31035901  0.73374227 -0.27607225 -0.53766503],[ 0.43455994 -0.07268959  0.14810305 -0.88540351],[-3.00645462e-01 -2.71706560e-09  2.85605792e-08  9.53735973e-01],[ 0.00162797 -0.01078593  0.14923578  0.98874147],[ 0.64831864 -0.00467522  0.15977489 -0.74440115],[ 0.52593871  0.02696278 -0.04352403 -0.84898006],[-3.63400647e-01 -9.93257624e-09  4.26327410e-08  9.31632959e-01],[ 2.37262614e-09 -6.68758440e-09  3.13614931e-09  1.00000000e+00],[ 0.60576709  0.01358578  0.03278205 -0.7948503 ],[ 0.57096907  0.02044613 -0.02937072 -0.82019122],[-3.97036610e-01 -9.15484386e-08  1.30761652e-07  9.17802773e-01],[-0.02281757  0.02156311 -0.149761    0.98822368],[ 0.5353967   0.01058143 -0.05084305 -0.8430026 ],[ 0.56970408 -0.00613372  0.00884764 -0.82177938],[-3.95820066e-01  5.39834854e-08 -4.93801580e-08  9.18328087e-01],[-0.04721577  0.04159608 -0.29730416  0.95270702],[ 0.62120549 -0.0547378  -0.11126333 -0.77377515],[ 0.57215083 -0.05208055  0.07419718 -0.8151232 ],[-3.99461833e-01  1.57647269e-08 -5.91468752e-09  9.16749826e-01]
[-0.5847095  -0.51124811 -0.27362011  0.56733783],[-0.81126677  0.14761726 -0.25260796 -0.50620607],[0.11863015 0.10007381 0.06674576 0.98562525],[ 0.3074926   0.73360342 -0.27835984 -0.53832157],[ 0.43790029 -0.07246949  0.14630816 -0.88407321],[-3.02982583e-01  6.36155753e-09 -1.23427109e-08  9.52996094e-01],[ 0.00162797 -0.01078592  0.14923577  0.98874147],[ 0.64885655 -0.0019867   0.16276189 -0.74329657],[ 0.52547375  0.02878802 -0.04651514 -0.84904943],[-3.63127201e-01 -4.55923537e-08  9.63874036e-08  9.31739575e-01],[-8.93568952e-09 -4.63220700e-09  3.57401175e-09  1.00000000e+00],[ 0.6052661   0.01276731  0.03230154 -0.79526509],[ 0.57202546  0.01983127 -0.02841114 -0.81950376],[-3.97824459e-01  3.95183823e-09  5.05952393e-08  9.17461552e-01],[-0.02281756  0.02156311 -0.14976097  0.98822368],[ 0.53567295  0.01142785 -0.0490216  -0.84292394],[ 0.56960763 -0.0052523   0.00757828 -0.82186503],[-3.95739899e-01  4.44131718e-07 -6.38778326e-07  9.18362637e-01],[-0.04721578  0.04159608 -0.29730417  0.95270702],[ 0.62058469 -0.0560298  -0.11280258 -0.77395793],[ 0.57279074 -0.05302657  0.07540315 -0.81450188],[-4.00014258e-01  2.26231704e-08 -3.07657584e-08  9.16508916e-01]
[-0.58436421 -0.51160368 -0.27356716  0.56739858],[-0.81086775  0.14667824 -0.25218247 -0.50732927],[0.11610171 0.09904117 0.06636531 0.98605623],[ 0.30890531  0.73328258 -0.27654643 -0.53888426],[ 0.43579981 -0.07217243  0.14657893 -0.88508999],[-3.01461350e-01 -2.75867583e-08  3.50978034e-08  9.53478397e-01],[ 0.00162798 -0.01078594  0.14923577  0.98874147],[ 0.64843284 -0.00481032  0.16044787 -0.74415603],[ 0.52601675  0.0268366  -0.04331215 -0.84894655],[-3.63453744e-01 -2.88047835e-08  3.40055989e-08  9.31612246e-01],[0. 0. 0. 1.],[ 0.60590299  0.01177385  0.0304903  -0.79486683],[ 0.57205926  0.01904579 -0.02728524 -0.81953705],[-3.97829821e-01 -5.47709243e-08  7.69812782e-08  9.17459227e-01],[-0.02281755  0.0215631  -0.14976097  0.98822368],[ 0.53578724  0.00950411 -0.05209753 -0.84269066],[ 0.56972884 -0.0070407   0.01015516 -0.82173983],[-3.95846794e-01  3.56475576e-07 -4.81812561e-07  9.18316566e-01],[-0.04721577  0.04159606 -0.29730417  0.95270702],[ 0.62113949 -0.05542934 -0.11206513 -0.77366319],[ 0.57267254 -0.05254811  0.07475418 -0.81467581],[-3.99890830e-01  4.54551689e-08 -6.13849585e-08  9.16562777e-01]
[-0.58422698 -0.51174943 -0.27356079  0.56741153],[-0.81063388  0.14649384 -0.25201965 -0.50783695],[0.11538078 0.09870908 0.06613269 0.98618977],[ 0.31219763  0.73313968 -0.27597502 -0.53747245],[ 0.43401599 -0.07267442  0.14829686 -0.88563908],[-3.00259227e-01  1.19123197e-08 -1.42093481e-08  9.53857640e-01],[ 0.00162797 -0.01078592  0.14923577  0.98874147],[ 0.64423167 -0.00550841  0.16003574 -0.74787952],[ 0.52965419  0.02655443 -0.04245134 -0.84673442],[-3.66147147e-01 -8.20807712e-08  9.37179365e-08  9.30556966e-01],[-3.87362629e-09  6.09527067e-09 -3.68671005e-09  1.00000000e+00],[ 0.60658691  0.01442241  0.03409316 -0.79415488],[ 0.5714567   0.02105711 -0.03020815 -0.81980565],[-3.97424683e-01 -8.57218404e-08  1.14954348e-07  9.17634797e-01],[-0.02281757  0.02156312 -0.14976099  0.98822368],[ 0.53457015  0.00829498 -0.05409398 -0.84335034],[ 0.57061228 -0.00795152  0.01144206 -0.82110138],[-3.96528316e-01  2.28359975e-07 -2.89754512e-07  9.18022491e-01],[-0.04721578  0.0415961  -0.29730413  0.95270703],[ 0.62090608 -0.05310068 -0.10879636 -0.77448002],[ 0.57291119 -0.05071477  0.07213244 -0.81486054],[-3.99946666e-01  4.17007057e-08 -4.49655307e-08  9.16538414e-01]
[-0.58406683 -0.51191863 -0.27355053  0.56742873],[-0.81032291  0.1461316  -0.25199828 -0.50844783],[0.11452383 0.09826649 0.06616159 0.98633191],[ 0.3096815   0.73346    -0.27743002 -0.53774194],[ 0.43678437 -0.07263371  0.14708252 -0.88448318],[-3.02212102e-01 -3.03819727e-09  2.96819673e-08  9.53240707e-01],[ 0.00162798 -0.01078592  0.14923579  0.98874147],[ 0.65083728 -0.00277767  0.16319572 -0.74146495],[ 0.52312989  0.02853282 -0.04638901 -0.85051105],[-3.61377811e-01 -6.81448354e-08  9.08286639e-08  9.32419475e-01],[6.91489700e-09 1.17036600e-08 2.15390861e-09 1.00000000e+00],[ 0.60613099  0.01346697  0.03288169 -0.79457074],[ 0.57196404  0.02012111 -0.02883015 -0.81952492],[-3.97785396e-01 -9.86698089e-08  1.31098786e-07  9.17478490e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.53703899  0.01128619 -0.04886703 -0.84206518],[ 0.5686541  -0.00503308  0.00728008 -0.82252914],[-3.95013143e-01  2.14423577e-07 -3.45905150e-07  9.18675469e-01],[-0.04721578  0.04159608 -0.29730417  0.95270702],[ 0.62195336 -0.05339972 -0.10823302 -0.77369768],[ 0.57160648 -0.0508476   0.07256373 -0.81572977],[-3.98963924e-01 -6.50107545e-09  1.92280202e-08  9.16966623e-01]
[-0.58402721 -0.51196092 -0.27354956  0.56743182],[-0.81019008  0.14596656 -0.25214712 -0.5086331 ],[0.11409366 0.09805786 0.0661374  0.98640415],[ 0.30665121  0.7331566  -0.27946843 -0.53883563],[ 0.43967899 -0.07256505  0.14577571 -0.88327014],[-3.04253474e-01 -6.24528032e-09  5.34617400e-09  9.52591110e-01],[ 0.00162798 -0.01078592  0.14923577  0.98874147],[ 0.65031864 -0.00179763  0.16438512 -0.74166028],[ 0.52376952  0.02903257 -0.04711879 -0.85006024],[-3.61872515e-01 -6.19947826e-08  1.02816810e-07  9.32227592e-01],[0. 0. 0. 1.],[ 0.60552589  0.01137286  0.03069125 -0.79515225],[ 0.5725151   0.01880821 -0.02691347 -0.81923646],[-3.98171099e-01 -8.14965825e-08  1.25494747e-07  9.17311166e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.53638993  0.01182793 -0.04749272 -0.84254993],[ 0.56923267 -0.0045254   0.006536   -0.82213804],[-3.95449881e-01  4.36697811e-07 -6.25439013e-07  9.18487556e-01],[-0.04721579  0.04159608 -0.29730419  0.95270701],[ 0.62276622 -0.05605843 -0.11065472 -0.77251228],[ 0.57050871 -0.05257436  0.075211   -0.81614892],[-3.98248957e-01  3.59247445e-08 -7.09777175e-08  9.17277367e-01]
[-0.58396215 -0.51203372 -0.27355838  0.56742885],[-0.80998504  0.14596305 -0.25218273 -0.50894292],[0.11417603 0.09755358 0.0659396  0.98645786],[ 0.30730086  0.73316658 -0.27806806 -0.53917633],[ 0.43825701 -0.07229667  0.14582654 -0.88399016],[-3.03214991e-01 -6.87671306e-09 -8.25638864e-09  9.52922174e-01],[ 0.00162798 -0.01078593  0.14923579  0.98874147],[ 0.64956944 -0.00360526  0.16229981 -0.74276869],[ 0.52448229  0.0277502  -0.04496162 -0.84978039],[-3.62349889e-01 -2.68908920e-08  3.59854686e-08  9.32042144e-01],[0. 0. 0. 1.],[ 0.60554107  0.01083756  0.03004842 -0.79517272],[ 0.5724675   0.01864208 -0.02667947 -0.81928117],[-3.98130700e-01  4.26916849e-08 -2.64414037e-08  9.17328701e-01],[-0.02281756  0.02156313 -0.14976099  0.98822368],[ 0.53631193  0.01017649 -0.05036752 -0.84245419],[ 0.56931886 -0.00604461  0.00872794 -0.82204825],[-3.95526173e-01  1.29441738e-08 -4.82486003e-08  9.18454706e-01],[-0.04721577  0.04159608 -0.29730415  0.95270703],[ 0.62516797 -0.05788675 -0.11188524 -0.77025699],[ 0.56830438 -0.05334401  0.0767344  -0.81749397],[-3.96631011e-01  8.97086526e-09  1.95526179e-09  9.17978127e-01]
[-0.58378826 -0.51221497 -0.27353988  0.56745311],[-0.8097078   0.14551425 -0.25208446 -0.5095609 ],[0.11412461 0.09744516 0.06607518 0.98646545],[ 0.31149381  0.73294381 -0.2768152  -0.53771584],[ 0.43536155 -0.07273721  0.14786748 -0.8850451 ],[-3.01217924e-01  5.61346975e-09 -4.12626555e-08  9.53555327e-01],[ 0.00162797 -0.01078593  0.14923577  0.98874147],[ 0.64917948 -0.00434744  0.16154826 -0.74326931],[ 0.52488803  0.027212   -0.04404604 -0.8495952 ],[-3.62630045e-01 -1.97875959e-08  4.58175265e-08  9.31933179e-01],[-7.06860515e-09 -1.17580438e-08 -2.25379022e-09  1.00000000e+00],[ 0.60666574  0.01384634  0.03409703 -0.79410475],[ 0.57156077  0.02098877 -0.03010237 -0.81973874],[-3.97502070e-01 -1.93197985e-08  3.98150105e-08  9.17601277e-01],[-0.02281757  0.0215631  -0.14976099  0.98822368],[ 0.53532403  0.00943479 -0.05147545 -0.84302399],[ 0.57016229 -0.00661627  0.00953214 -0.82145014],[-3.96172858e-01  3.33444580e-07 -5.16060169e-07  9.18175946e-01],[-0.04721579  0.04159606 -0.29730417  0.95270702],[ 0.62269977 -0.05569894 -0.10886267 -0.77284639],[ 0.57127611 -0.05177065  0.07392828 -0.81578062],[-3.98775866e-01 -2.40013429e-08  3.39109371e-08  9.17048422e-01]
[-0.58372752 -0.51227558 -0.27352443  0.56746833],[-0.80961084  0.14514518 -0.2521952  -0.50976538],[0.11402774 0.09725108 0.06614524 0.98649111],[ 0.30767319  0.73389891 -0.27608506 -0.53898668],[ 0.43743733 -0.07157263  0.14474203 -0.88463308],[-3.02550378e-01 -2.22552684e-08  2.34584033e-08  9.53133395e-01],[ 0.00162798 -0.01078593  0.14923578  0.98874147],[ 0.65249773 -0.00539729  0.16028436 -0.74062575],[ 0.52198974  0.02646972 -0.04317618 -0.85144693],[-3.60451925e-01 -4.44614349e-08  7.12953318e-08  9.32777792e-01],[ 4.60093628e-09 -5.93383936e-09  4.01355624e-09  1.00000000e+00],[ 0.60492723  0.01376716  0.03460886 -0.79540917],[ 0.57304088  0.02110556 -0.03015336 -0.81869987],[-3.98632734e-01 -1.57538205e-08  5.24879893e-08  9.17110649e-01],[-0.02281755  0.02156312 -0.14976099  0.98822368],[ 0.53773136  0.01053186 -0.04932274 -0.8416064 ],[ 0.56826973 -0.00557302  0.00806911 -0.8227839 ],[-3.94724701e-01 -5.90384982e-08  1.12431543e-07  9.18799440e-01],[-0.04721576  0.04159607 -0.29730416  0.95270702],[ 0.62093773 -0.05597363 -0.10902878 -0.77421961],[ 0.57279608 -0.05211796  0.07412617 -0.81467397],[-3.99954871e-01  3.22340177e-08 -3.51589775e-08  9.16534834e-01]
[-0.58369711 -0.51230392 -0.27351033  0.56748081],[-0.80958919  0.14486728 -0.25226572 -0.50984393],[0.11415049 0.09723553 0.06614876 0.98647821],[ 0.30592805  0.73347201 -0.27788726 -0.53963461],[ 0.43956842 -0.07199051  0.14470329 -0.88354848],[-3.04108213e-01  6.51577419e-09 -3.39901455e-08  9.52637494e-01],[ 0.00162797 -0.01078594  0.14923577  0.98874147],[ 0.65045364 -0.00472665  0.1618453  -0.74208748],[ 0.52423005  0.02730936 -0.04427936 -0.84998611],[-3.62145453e-01  2.29018332e-08 -3.19122150e-08  9.32121597e-01],[0. 0. 0. 1.],[ 0.60350059  0.01142727  0.03150605 -0.79665791],[ 0.57415149  0.0192251  -0.02739237 -0.81806486],[-3.99429045e-01 -1.31562287e-08  2.63364505e-08  9.16764113e-01],[-0.02281756  0.0215631  -0.149761    0.98822368],[ 0.53714097  0.01030603 -0.0491211  -0.84199791],[ 0.56876528 -0.00567241  0.00820239 -0.82243942],[-3.95102276e-01  1.21208613e-07 -1.28453314e-07  9.18637138e-01],[-0.04721578  0.04159611 -0.29730419  0.95270701],[ 0.62009098 -0.05768647 -0.11144879 -0.77442793],[ 0.57305371 -0.05372999  0.07633848 -0.81418362],[-4.00263954e-01  6.93007520e-09 -1.84241756e-08  9.16399895e-01]
