[-0.56485184 -0.53425915 -0.28050297  0.56287444],[-0.73735475  0.14032443 -0.2606407  -0.6071931 ],[0.11995369 0.11353996 0.03241081 0.98573289],[ 0.26509156  0.74832927 -0.29256329 -0.53304455],[ 0.45970888 -0.0554936   0.10622248 -0.87994601],[-3.16803347e-01 -3.46953645e-09  1.86315450e-08  9.48491244e-01],[ 0.00162798 -0.01078592  0.14923579  0.98874147],[ 0.63453338  0.02046886  0.11041752 -0.76469366],[ 0.51340755  0.0287513  -0.04795475 -0.85632143],[-3.54194304e-01 -1.99113261e-09  2.05626238e-08  9.35171853e-01],[1.64851910e-09 7.55522900e-09 2.51520138e-09 1.00000000e+00],[ 0.59012298  0.0730784  -0.04117241 -0.80294412],[ 0.57728149  0.06597829 -0.09241736 -0.80861114],[-4.04449244e-01 -2.03309575e-08  2.74056614e-08  9.14560446e-01],[-0.02281755  0.02156314 -0.14976098  0.98822368],[ 0.67416923 -0.09680364  0.12247589 -0.72188958],[ 0.66250932 -0.05121832  0.05760153 -0.74507728],[-4.70180148e-01  1.42630709e-08 -8.30079608e-09  8.82570467e-01],[-0.04721578  0.0415961  -0.29730419  0.95270701],[ 0.73127288 -0.03609845 -0.08483645 -0.67582517],[ 0.60514184 -0.0418704   0.05487669 -0.79311964],[-4.24175882e-01 -1.76358831e-08 -1.07395954e-08  9.05579826e-01]
[-0.5648453  -0.5342717  -0.28052303  0.5628591 ],[-0.73720953  0.14029279 -0.260802   -0.60730746],[0.12016768 0.11349721 0.03245838 0.98571018],[ 0.26742642  0.74826079 -0.29245528 -0.53203271],[ 0.45867095 -0.05608273  0.10763385 -0.88027873],[-3.16110001e-01 -3.52506860e-08  3.11592069e-08  9.48722545e-01],[ 0.00162796 -0.01078591  0.14923577  0.98874147],[ 0.6335539   0.01976036  0.10974192 -0.76562112],[ 0.51441725  0.02866354 -0.04768192 -0.85573345],[-3.54936089e-01 -4.72665070e-08  5.41359281e-08  9.34890567e-01],[1.64256209e-09 7.53530200e-09 2.50706211e-09 1.00000000e+00],[ 0.59117434  0.07458291 -0.03944305 -0.80211878],[ 0.57625207  0.06695743 -0.094011   -0.80908107],[-4.03751964e-01  1.36052536e-08 -2.24553928e-09  9.14868489e-01],[-0.02281757  0.02156314 -0.14976098  0.98822368],[ 0.67376915 -0.09684241  0.12208394 -0.72232416],[ 0.66298338 -0.05138389  0.05771221 -0.74463551],[-4.70574422e-01  3.90245653e-08 -5.85656231e-08  8.82360308e-01],[-0.04721578  0.04159609 -0.29730417  0.95270702],[ 0.73186851 -0.03436227 -0.08263878 -0.67554316],[ 0.60468939 -0.040219    0.05279002 -0.79369162],[-4.23737541e-01  5.66043950e-08 -1.13549119e-07  9.05785017e-01]
[-0.56489021 -0.53421689 -0.28049387  0.56288058],[-0.73744439  0.14040303 -0.2607064  -0.60703784],[0.11984743 0.11343215 0.03241025 0.98575824],[ 0.26552657  0.74854985 -0.29219773 -0.53271874],[ 0.45978655 -0.055468    0.10615185 -0.87991557],[-3.16856871e-01  2.49444308e-08 -3.81098543e-08  9.48473365e-01],[ 0.00162799 -0.01078593  0.14923577  0.98874147],[ 0.63350133  0.02134484  0.11183801 -0.76531871],[ 0.51437321  0.0300544  -0.04999099 -0.85558041],[-3.54962165e-01 -6.20679444e-08  6.61070647e-08  9.34880667e-01],[0. 0. 0. 1.],[ 0.59077863  0.07520289 -0.0382013  -0.80241248],[ 0.57647344  0.06758977 -0.09482652 -0.80877557],[-4.03976380e-01  9.49139468e-10 -6.03449043e-09  9.14769416e-01],[-0.02281757  0.02156312 -0.14976099  0.98822368],[ 0.67305    -0.09287147  0.12581081 -0.72287636],[ 0.66426512 -0.04848479  0.05430045 -0.74394391],[-4.71436709e-01  5.12661490e-08 -3.57956628e-08  8.81899897e-01],[-0.04721579  0.0415961  -0.29730417  0.95270702],[ 0.7301465  -0.03196203 -0.08071387 -0.67775349],[ 0.60649154 -0.03885551  0.05077329 -0.79251519],[-4.25068482e-01 -3.37734213e-08  6.96188672e-09  9.05161193e-01]
[-0.56486797 -0.53423899 -0.28049135  0.56288319],[-0.73732671  0.14008393 -0.26093732 -0.60715527],[0.11969161 0.11310062 0.03261872 0.98580839],[ 0.26339945  0.74775477 -0.29379549 -0.534011  ],[ 0.46168378 -0.05570773  0.1060521  -0.87891848],[-3.18239856e-01  2.44371340e-08  1.99277592e-09  9.48010229e-01],[ 0.00162796 -0.01078592  0.14923577  0.98874147],[ 0.6328448   0.0226104   0.11317668 -0.76562868],[ 0.51497869  0.03070931 -0.05099346 -0.85513364],[-3.55437770e-01 -3.95071248e-08  1.02532474e-07  9.34699948e-01],[0. 0. 0. 1.],[ 0.58820522  0.07199313 -0.04190866 -0.80440989],[ 0.57890514  0.06576553 -0.09173974 -0.80754415],[-4.05667221e-01 -3.33046853e-08  5.32573146e-08  9.14020846e-01],[-0.02281757  0.02156312 -0.149761    0.98822368],[ 0.67402239 -0.09567011  0.12330069 -0.72203738],[ 0.66260849 -0.05064546  0.056949   -0.74507841],[-4.70224791e-01  2.57908019e-08 -4.36852191e-08  8.82546682e-01],[-0.04721578  0.04159608 -0.29730416  0.95270702],[ 0.73022587 -0.03585531 -0.0847242  -0.6769833 ],[ 0.60586698 -0.04175228  0.05462003 -0.79258981],[-4.24732786e-01  2.50348194e-08 -1.47168211e-08  9.05318762e-01]
[-0.56486797 -0.53423899 -0.28049135  0.56288319],[-0.73732671  0.14008393 -0.26093732 -0.60715527],[0.11969161 0.11310062 0.03261872 0.98580839],[ 0.26339945  0.74775477 -0.29379549 -0.534011  ],[ 0.46168378 -0.05570773  0.1060521  -0.87891848],[-3.18239856e-01  2.44371340e-08  1.99277592e-09  9.48010229e-01],[ 0.00162796 -0.01078592  0.14923577  0.98874147],[ 0.6328448   0.0226104   0.11317668 -0.76562868],[ 0.51497869  0.03070931 -0.05099346 -0.85513364],[-3.55437770e-01 -3.95071248e-08  1.02532474e-07  9.34699948e-01],[0. 0. 0. 1.],[ 0.58820522  0.07199313 -0.04190866 -0.80440989],[ 0.57890514  0.06576553 -0.09173974 -0.80754415],[-4.05667221e-01 -3.33046853e-08  5.32573146e-08  9.14020846e-01],[-0.02281757  0.02156312 -0.149761    0.98822368],[ 0.67402239 -0.09567011  0.12330069 -0.72203738],[ 0.66260849 -0.05064546  0.056949   -0.74507841],[-4.70224791e-01  2.57908019e-08 -4.36852191e-08  8.82546682e-01],[-0.04721578  0.04159608 -0.29730416  0.95270702],[ 0.73022587 -0.03585531 -0.0847242  -0.6769833 ],[ 0.60586698 -0.04175228  0.05462003 -0.79258981],[-4.24732786e-01  2.50348194e-08 -1.47168211e-08  9.05318762e-01]
[-0.5649329  -0.53417346 -0.28049598  0.56287791],[-0.73721187  0.13990706 -0.26158804 -0.60705549],[0.11941562 0.11291267 0.03251986 0.98586667],[ 0.26774041  0.74806327 -0.29200875 -0.5323977 ],[ 0.45864324 -0.05648979  0.10840832 -0.88017209],[-3.16125929e-01  1.45959387e-08 -3.97290840e-08  9.48717238e-01],[ 0.00162799 -0.01078593  0.14923577  0.98874147],[ 0.63066175  0.02172098  0.11266308 -0.76752914],[ 0.51675426  0.03052651 -0.05045482 -0.85410039],[-3.56741512e-01 -3.26921276e-08  5.01480192e-08  9.34203133e-01],[-1.68597400e-09 -7.48952900e-09 -2.49345078e-09  1.00000000e+00],[ 0.59028191  0.07468141 -0.03878176 -0.80279881],[ 0.57658177  0.06732646 -0.09443815 -0.80876576],[-4.04035348e-01  1.75735759e-08 -1.38061345e-08  9.14743373e-01],[-0.02281757  0.02156311 -0.14976101  0.98822367],[ 0.6731962  -0.09708617  0.12160237 -0.72290664],[ 0.66320662 -0.05188945  0.05823893 -0.74436059],[-4.70787243e-01 -3.38919460e-08  2.03244894e-08  8.82246775e-01],[-0.04721578  0.04159608 -0.29730417  0.95270702],[ 0.73031269 -0.03171645 -0.08073046 -0.67758397],[ 0.60628186 -0.03890107  0.05086015 -0.79266781],[-4.24907692e-01  7.68059025e-08 -1.26989972e-07  9.05236683e-01]
[-0.56491117 -0.53418594 -0.28046226  0.56290467],[-0.73750764  0.14006906 -0.26098385 -0.60691891],[0.11937502 0.11265961 0.03260905 0.98589759],[ 0.26406976  0.74813535 -0.29448343 -0.53276652],[ 0.46228312 -0.05593344  0.1063004  -0.87855904],[-3.18689960e-01  4.56425083e-09 -1.70984820e-08  9.47859013e-01],[ 0.00162798 -0.01078591  0.14923577  0.98874147],[ 0.63449619  0.02442006  0.11519428 -0.76390348],[ 0.51311539  0.03172068 -0.052924   -0.85609897],[-3.54107815e-01  1.26172500e-08 -1.62458818e-08  9.35204606e-01],[0. 0. 0. 1.],[ 0.59040392  0.07397767 -0.04032043 -0.80269843],[ 0.57677085  0.06627315 -0.09294453 -0.80889095],[-4.04086408e-01 -2.53432942e-08  5.39812934e-08  9.14720818e-01],[-0.02281756  0.02156313 -0.14976099  0.98822368],[ 0.67344862 -0.09370572  0.12513667 -0.72251437],[ 0.66351723 -0.0491226   0.0551189  -0.74450907],[-4.70868276e-01  5.92769220e-08 -8.89873130e-09  8.82203529e-01],[-0.04721578  0.04159609 -0.29730416  0.95270702],[ 0.73047707 -0.03537917 -0.08410951 -0.67681397],[ 0.60554168 -0.04209847  0.05511601 -0.79278573],[-4.24498642e-01  5.58843521e-08 -8.36420732e-08  9.05428574e-01]
[-0.5648912  -0.5342161  -0.28049475  0.5628799 ],[-0.73738624  0.14028217 -0.26086695 -0.60706745],[0.11923325 0.11260069 0.03256355 0.98592298],[ 0.26267966  0.74858083 -0.29357249 -0.53333042],[ 0.46220754 -0.05523261  0.10501412 -0.87879781],[-3.18575147e-01 -2.00537011e-08  2.03577992e-08  9.47897608e-01],[ 0.00162797 -0.01078593  0.14923577  0.98874147],[ 0.63305149  0.02400609  0.11399204 -0.76529428],[ 0.51473999  0.03112899 -0.0517195  -0.85521858],[-3.55280150e-01 -8.12849474e-08  1.01830918e-07  9.34759870e-01],[-9.71900858e-09  5.97783770e-09 -6.61861540e-09  1.00000000e+00],[ 0.58910732  0.07261205 -0.0422282  -0.80367707],[ 0.57803778  0.06536184 -0.09139182 -0.8082374 ],[-4.04971712e-01  3.09145994e-08 -2.77639275e-08  9.14329215e-01],[-0.02281757  0.02156313 -0.149761    0.98822368],[ 0.67290839 -0.09481931  0.12369048 -0.7231212 ],[ 0.66356172 -0.05034033  0.05646439 -0.74428722],[-4.70978314e-01  1.15951798e-08 -1.67641498e-08  8.82144788e-01],[-0.04721579  0.04159609 -0.29730417  0.95270702],[ 0.72978074 -0.03616996 -0.08517395 -0.67738999],[ 0.60614473 -0.04277153  0.05590243 -0.7922336 ],[-4.25003831e-01 -4.57011205e-09  6.74697638e-09  9.05191551e-01]
[-0.56489861 -0.53424299 -0.2806133   0.56278784],[-0.73695498  0.14109852 -0.2608787  -0.6073968 ],[0.11974986 0.1123439  0.03237473 0.98589589],[ 0.26623812  0.74815058 -0.29350729 -0.53220432],[ 0.45991531 -0.05616106  0.10741581 -0.87965089],[-3.17009661e-01  9.61823508e-10 -4.51694970e-08  9.48422308e-01],[ 0.00162798 -0.01078592  0.14923577  0.98874147],[ 0.63389789  0.02102306  0.11042135 -0.76520495],[ 0.51420799  0.02922792 -0.0486434  -0.85578601],[-3.54805015e-01 -6.40991287e-08  6.14712988e-08  9.34940320e-01],[3.59651086e-09 1.53968189e-08 4.88901570e-09 1.00000000e+00],[ 0.59125293  0.07383662 -0.04144299 -0.80202905],[ 0.57599692  0.06605253 -0.09282646 -0.80947382],[-4.03478438e-01 -1.11885877e-08  7.34868102e-09  9.14989153e-01],[-0.02281754  0.02156313 -0.14976097  0.98822368],[ 0.67453093 -0.09710285  0.12122576 -0.7217225 ],[ 0.66189478 -0.0517287   0.05826534 -0.74553645],[-4.69714643e-01 -4.45573357e-09 -6.47254901e-08  8.82818302e-01],[-0.04721577  0.0415961  -0.29730416  0.95270702],[ 0.73197514 -0.03298315 -0.08158878 -0.67562399],[ 0.60441178 -0.03976117  0.05223077 -0.7939631 ],[-4.23498519e-01  2.14307103e-08 -2.30287635e-08  9.05896796e-01]
[-0.56498829 -0.5341787  -0.28070957  0.56271083],[-0.73665822  0.14190473 -0.26122226 -0.60742131],[0.11968539 0.11228885 0.03235866 0.98591051],[ 0.26500177  0.74835047 -0.29369527 -0.5324366 ],[ 0.46069425 -0.05570991  0.10634274 -0.87940232],[-3.17529408e-01  6.62547190e-09 -7.86906520e-09  9.48248425e-01],[ 0.00162799 -0.01078591  0.14923577  0.98874147],[ 0.63331427  0.02165221  0.11085556 -0.76560777],[ 0.5146543   0.02990901 -0.04971332 -0.85543263],[-3.55163431e-01 -4.33870577e-09 -1.31294954e-09  9.34804224e-01],[3.79032272e-09 1.53688759e-08 4.73853500e-09 1.00000000e+00],[ 0.59140789  0.07424825 -0.04115003 -0.80189187],[ 0.57582327  0.0664437  -0.09340743 -0.80949852],[-4.03380635e-01  1.43970135e-08 -2.52566414e-08  9.15032275e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.67439869 -0.09466529  0.12347455 -0.7217887 ],[ 0.66257809 -0.04972125  0.05592456 -0.74524527],[-4.70143447e-01 -5.86390575e-08  5.90810540e-08  8.82590018e-01],[-0.04721578  0.04159609 -0.29730417  0.95270702],[ 0.731624   -0.03427863 -0.08301637 -0.67576592],[ 0.60468217 -0.04087891  0.05365084 -0.79360568],[-4.23766324e-01 -2.03097159e-08  1.03299189e-08  9.05771551e-01]
