[-0.57825259 -0.5189857  -0.27632261  0.56561789],[-0.72470009  0.06200985 -0.39262723 -0.56285737],[0.03694744 0.1397854  0.33693427 0.93036027],[ 0.23907518  0.70357673 -0.36226729 -0.56265909],[ 0.12746963 -0.00870634  0.06758384 -0.98949892],[-8.53332976e-02  2.74610208e-09  1.12765231e-08  9.96352462e-01],[ 0.00162797 -0.01078593  0.14923577  0.98874147],[ 0.47226723 -0.0282177   0.28533492 -0.83351749],[ 0.47484226  0.03515713 -0.06493034 -0.87696799],[-3.26295505e-01  1.37676358e-08 -2.98440337e-08  9.45267816e-01],[0. 0. 0. 1.],[ 0.47732573  0.01901459  0.10638243 -0.87205583],[ 0.54935823  0.05062213 -0.07653179 -0.83053345],[-3.82153154e-01 -4.87707333e-08  7.10832402e-08  9.24099003e-01],[-0.02281756  0.02156311 -0.14976099  0.98822368],[ 0.42203882  0.0209975  -0.02108451 -0.90608928],[ 0.52862541  0.00241975 -0.0038856  -0.84884287],[-3.64889797e-01 -8.32826071e-08  1.32128039e-07  9.31050716e-01],[-0.04721576  0.04159608 -0.29730416  0.95270702],[ 0.419062   -0.10292539 -0.1458883  -0.89023031],[ 0.35176048 -0.03268876  0.08656391 -0.93150561],[-2.38966457e-01  1.51891349e-08 -4.11712480e-08  9.71027823e-01]
[-0.57851966 -0.51864041 -0.27612023  0.56576033],[-0.72637349  0.06145825 -0.39241099 -0.56090824],[0.03662651 0.14088575 0.33728064 0.93008144],[ 0.23688689  0.70286751 -0.36307511 -0.56394887],[ 0.12931614 -0.00863083  0.06603343 -0.98936466],[-8.65649444e-02  2.86033576e-08 -1.10890906e-07  9.96246210e-01],[ 0.00162798 -0.01078592  0.14923576  0.98874147],[ 0.47206576 -0.02803741  0.2861974  -0.83334199],[ 0.47507045  0.03558283 -0.06567032 -0.87677211],[-3.26483850e-01 -4.98663606e-09  7.74856810e-09  9.45202780e-01],[ 4.89344994e-09 -8.46765487e-11 -1.63860491e-10  1.00000000e+00],[ 0.47671212  0.01718858  0.10457795 -0.87264744],[ 0.54995418  0.04969265 -0.07502701 -0.83033246],[-3.82536635e-01  2.77947307e-08 -3.98951220e-08  9.23940324e-01],[-0.02281755  0.02156312 -0.14976099  0.98822368],[ 0.42188126  0.0206106  -0.02056663 -0.90618344],[ 0.52870265  0.0026235  -0.004212   -0.8487926 ],[-3.64947985e-01 -2.54358189e-07  4.04521967e-07  9.31027910e-01],[-0.04721576  0.04159608 -0.29730415  0.95270703],[ 0.41778692 -0.10385956 -0.14646082 -0.89062703],[ 0.35284927 -0.03298491  0.08703492 -0.93103937],[-2.39741378e-01  7.83948725e-09  3.19579679e-08  9.70836790e-01]
[-0.57883182 -0.51832558 -0.27617604  0.56570232],[-0.72629711  0.06228984 -0.39341746 -0.56020995],[0.03611712 0.1406652  0.33716502 0.93017665],[ 0.23794121  0.70321959 -0.36250106 -0.56343515],[ 0.12835468 -0.00864043  0.0666064  -0.98945137],[-8.59222513e-02 -4.00234606e-09 -7.02233511e-08  9.96301845e-01],[ 0.00162797 -0.01078592  0.14923576  0.98874147],[ 0.47234468 -0.02955168  0.28401265 -0.8338789 ],[ 0.47478934  0.0345472  -0.06382077 -0.87710232],[-3.26224686e-01  2.12567341e-08 -3.90195683e-08  9.45292259e-01],[ 4.96134985e-09 -2.10832420e-10 -4.08342225e-10  1.00000000e+00],[ 0.47695206  0.01658819  0.10352689 -0.87265328],[ 0.54943821  0.04910751 -0.07425294 -0.83077832],[-3.82109981e-01 -2.38543360e-08  3.87320181e-08  9.24116855e-01],[-0.02281757  0.02156312 -0.14976099  0.98822368],[ 0.4228054   0.01995739 -0.02121138 -0.90575238],[ 0.52764073  0.00230141 -0.00370517 -0.84945643],[-3.64156603e-01 -4.53134137e-07  7.23479659e-07  9.31337730e-01],[-0.04721578  0.04159608 -0.29730417  0.95270702],[ 0.4193966  -0.10498415 -0.14925477 -0.88927377],[ 0.35092164 -0.03364975  0.08932361 -0.93152724],[-2.38447309e-01 -3.46614750e-09  2.78771610e-08  9.71155436e-01]
[-0.57957756 -0.51756292 -0.2762784   0.56558706],[-0.7272151   0.06533872 -0.39405479 -0.55822027],[0.03537023 0.14092813 0.33830907 0.92975006],[ 0.2393458   0.70290256 -0.36338908 -0.56266326],[ 0.12827288 -0.00885083  0.06826477 -0.98934708],[-8.58771529e-02 -1.12430353e-08 -5.86334556e-09  9.96305734e-01],[ 0.00162797 -0.01078593  0.14923577  0.98874147],[ 0.46552876 -0.0263297   0.28741848 -0.83664828],[ 0.47960653  0.0367836  -0.06704286 -0.87414518],[-3.29840719e-01  1.78714211e-09 -1.07540018e-08  9.44036599e-01],[0. 0. 0. 1.],[ 0.47608051  0.01773895  0.10606685 -0.87280152],[ 0.54947788  0.05066227 -0.0765679  -0.83044852],[-3.82245745e-01  1.92252574e-08 -2.73361719e-08  9.24060707e-01],[-0.02281757  0.02156312 -0.14976099  0.98822368],[ 0.41948226  0.02049396 -0.01814261 -0.9073508 ],[ 0.52960223  0.00369138 -0.0059121  -0.84821748],[-3.65622579e-01 -4.25276699e-08  5.71459598e-08  9.30763197e-01],[-0.04721578  0.04159608 -0.29730417  0.95270702],[ 0.4188237  -0.10416705 -0.14509879 -0.89032706],[ 0.35129871 -0.03192752  0.08469302 -0.93187818],[-2.38597452e-01  6.78108899e-09 -3.41540257e-08  9.71118559e-01]
[-0.5800504  -0.51704401 -0.27622917  0.56560099],[-0.72832028  0.06625508 -0.39447741 -0.55636984],[0.03545675 0.1419898  0.33875414 0.92942313],[ 0.23829495  0.70304306 -0.36267926 -0.56339127],[ 0.12837212 -0.00867607  0.06687228 -0.98943086],[-8.59355353e-02 -8.89558355e-09  3.94398174e-08  9.96300699e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[ 0.46746323 -0.02568494  0.28979999 -0.83476606],[ 0.47751244  0.03756695 -0.06884746 -0.87511749],[-3.28365093e-01  1.71152510e-08 -3.43655093e-08  9.44550880e-01],[5.00097300e-09 2.09500300e-10 1.47224621e-10 1.00000000e+00],[ 0.47712723  0.01771248  0.10629465 -0.87220257],[ 0.54861758  0.05061713 -0.07667153 -0.83101031],[-3.81597310e-01  1.12695440e-09  1.64960347e-09  9.24328671e-01],[-0.02281755  0.02156312 -0.149761    0.98822368],[ 0.41911471  0.02111129 -0.01648334 -0.90753814],[ 0.52946081  0.0042927  -0.00687767 -0.84829566],[-3.65520626e-01 -3.49981800e-07  5.52640801e-07  9.30803240e-01],[-0.04721578  0.04159609 -0.29730419  0.95270701],[ 0.42275221 -0.10392628 -0.14347594 -0.88876012],[ 0.34793115 -0.03121615  0.08373054 -0.93325166],[-2.36216301e-01 -1.18072595e-08  5.48976494e-08  9.71700499e-01]
[-0.58048342 -0.51658439 -0.27623659  0.56557308],[-0.72901062  0.06740773 -0.39500999 -0.55494758],[0.03519273 0.14223518 0.33928431 0.92920223],[ 0.23888921  0.70296862 -0.36291699 -0.56307932],[ 0.12822034 -0.00876202  0.0676116  -0.98939954],[-8.58379359e-02  2.05148724e-08 -9.07632856e-08  9.96309113e-01],[ 0.00162796 -0.01078592  0.14923579  0.98874147],[ 0.46764982 -0.02823984  0.28517777 -0.83616971],[ 0.47724975  0.03542238 -0.06499205 -0.87564489],[-3.28055516e-01 -5.97897672e-09  5.85112165e-09  9.44658445e-01],[0. 0. 0. 1.],[ 0.47733128  0.01650332  0.10409696 -0.87237969],[ 0.54842103  0.04947467 -0.07499955 -0.83136135],[-3.81371724e-01 -3.72014540e-09  5.44044614e-09  9.24421769e-01],[-0.02281756  0.02156312 -0.14976098  0.98822368],[ 0.42003553  0.01924581 -0.0195461  -0.907093  ],[ 0.52855644  0.00265034 -0.00425665 -0.84888335],[-3.64839247e-01 -7.27445502e-07  1.17124888e-06  9.31070526e-01],[-0.04721579  0.04159609 -0.29730419  0.95270701],[ 0.42256818 -0.10634202 -0.14819385 -0.88778719],[ 0.34743084 -0.03271257  0.08784802 -0.93300827],[-2.35964763e-01  2.17756021e-08 -7.47521947e-08  9.71761612e-01]
[-0.58072784 -0.51633234 -0.27626595  0.56553799],[-0.72946788  0.06852562 -0.39496944 -0.55423821],[0.03432954 0.14243685 0.34021438 0.9288635 ],[ 0.24132859  0.70380012 -0.36134651 -0.56200943],[ 0.12601549 -0.008724    0.06851199 -0.98962119],[-8.43617098e-02  1.47132972e-08  5.39315328e-08  9.96435197e-01],[ 0.00162799 -0.01078593  0.14923577  0.98874147],[ 0.46824305 -0.02840011  0.28363081 -0.83635844],[ 0.47645139  0.03482965 -0.06405005 -0.87617268],[-3.27444792e-01 -3.17177100e-09  1.26555581e-08  9.44870313e-01],[ 2.63038363e-09 -1.32250552e-10  5.02433130e-10  1.00000000e+00],[ 0.47617591  0.01807124  0.10652096 -0.87268736],[ 0.54902437  0.0505341  -0.07646651 -0.83076556],[-3.81896658e-01  1.65759406e-08 -2.13948671e-08  9.24205033e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.41972098  0.01837264 -0.02153289 -0.90721171],[ 0.52808877  0.00169662 -0.00272823 -0.8491831 ],[-3.64488323e-01 -5.81743037e-07  9.18271258e-07  9.31207959e-01],[-0.04721578  0.04159609 -0.29730419  0.95270701],[ 0.41761899 -0.10620153 -0.14847715 -0.89009559],[ 0.35102363 -0.03312925  0.08792738 -0.93164029],[-2.38483731e-01  9.15657199e-09 -5.11638177e-08  9.71146493e-01]
[-0.58064739 -0.51640924 -0.27623612  0.56556494],[-0.72978811  0.06851372 -0.39428683 -0.55430414],[0.03389921 0.1425626  0.34094972 0.92859035],[ 0.24021454  0.70401283 -0.36128287 -0.56226115],[ 0.12703259 -0.00867281  0.06755982 -0.98955706],[-8.50394845e-02  2.37219225e-08 -5.24838414e-08  9.96377582e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[ 0.4686877  -0.02838724  0.28275784 -0.83640541],[ 0.47604823  0.03450846 -0.06353283 -0.87644214],[-3.27135404e-01 -3.44082137e-08  5.90784176e-08  9.44977474e-01],[ 2.72152656e-09 -9.25083900e-11  4.55722932e-10  1.00000000e+00],[ 0.47576786  0.01831024  0.10616746 -0.87294797],[ 0.54934336  0.05021807 -0.0759312  -0.83062294],[-3.82114154e-01 -5.85200230e-09  1.11226206e-08  9.24115130e-01],[-0.02281754  0.02156312 -0.14976098  0.98822368],[ 0.41959852  0.01903247 -0.02087901 -0.90727003],[ 0.52790147  0.00201284 -0.0032384  -0.84929706],[-3.64349670e-01  2.34161651e-07 -3.69318435e-07  9.31262218e-01],[-0.04721578  0.04159608 -0.29730415  0.95270703],[ 0.42022092 -0.10583516 -0.14744191 -0.88908615],[ 0.34822066 -0.03254974  0.08719127 -0.93278109],[-2.36501800e-01 -1.71716863e-09  6.63725700e-09  9.71631051e-01]
[-0.58049813 -0.51655884 -0.27620422  0.56559713],[-0.72985966  0.06811087 -0.39378399 -0.55461695],[0.03296664 0.14275214 0.34120999 0.9284992 ],[ 0.23832297  0.7032619  -0.36269393 -0.56309677],[ 0.12967057 -0.00875329  0.06677935 -0.98926712],[-8.68075377e-02  4.56805990e-09 -6.51971927e-08  9.96225101e-01],[ 0.00162797 -0.01078592  0.14923576  0.98874147],[ 0.4702672  -0.02584799  0.28530538 -0.83473438],[ 0.47497129  0.03568165 -0.06586901 -0.87680692],[-3.26417424e-01 -2.80109454e-08  4.19651772e-08  9.45225722e-01],[ 5.66041834e-09  2.56955194e-10 -7.74443611e-10  1.00000000e+00],[ 0.47600743  0.01761347  0.10455922 -0.87302581],[ 0.54939696  0.04916653 -0.07434932 -0.83079348],[-3.82083029e-01 -4.20518944e-08  6.30794600e-08  9.24127999e-01],[-0.02281755  0.02156312 -0.14976099  0.98822368],[ 0.41929827  0.01984146 -0.02004758 -0.90741025],[ 0.52823785  0.00247059 -0.00397112 -0.84908356],[-3.64601563e-01  5.40695716e-08 -8.46729225e-08  9.31163627e-01],[-0.04721576  0.04159608 -0.29730416  0.95270702],[ 0.41875032 -0.10447004 -0.14423175 -0.89046695],[ 0.34907517 -0.0319427   0.08534409 -0.93265351],[-2.37055441e-01  1.93386135e-08 -3.00511034e-08  9.71496123e-01]
[-0.58045325 -0.51659556 -0.27616785  0.56562741],[-0.72979507  0.06745982 -0.39402505 -0.5546103 ],[0.03166246 0.14234272 0.34145712 0.9285166 ],[ 0.23902013  0.70336678 -0.36246822 -0.56281555],[ 0.12917305 -0.00877327  0.06719284 -0.98930404],[-8.64756498e-02 -2.26508926e-08  6.99621248e-09  9.96253965e-01],[ 0.00162799 -0.01078593  0.14923578  0.98874147],[ 0.47022445 -0.02639465  0.28211456 -0.83582514],[ 0.47556982  0.03440177 -0.06341981 -0.8767142 ],[-3.26782894e-01 -3.36483712e-08  4.88928418e-08  9.45099434e-01],[ 5.85332700e-09  1.97156125e-10 -7.42380768e-10  1.00000000e+00],[ 0.47566298  0.01674123  0.10154137 -0.87358675],[ 0.54978619  0.04799894 -0.07252963 -0.83076513],[-3.82297670e-01  2.17446083e-08 -2.91314967e-08  9.24039226e-01],[-0.02281756  0.02156312 -0.149761    0.98822368],[ 0.41753717  0.0194765  -0.02156219 -0.90819516],[ 0.5292422   0.00190196 -0.00304927 -0.84846319],[-3.65347412e-01 -5.66714728e-07  8.99235894e-07  9.30871241e-01],[-0.04721579  0.04159609 -0.29730419  0.95270701],[ 0.4206874  -0.10616539 -0.14708915 -0.88888458],[ 0.3462357  -0.03273399  0.0882474  -0.93341401],[-2.35137905e-01  1.32352980e-08 -8.51947129e-08  9.71962019e-01]
