[-0.60538984 -0.50902868 -0.36132406  0.49379943],[-0.45265966  0.43250227 -0.40320351 -0.66743385],[-0.14711282  0.07532486  0.03859898  0.98549181],[ 0.23829439  0.71641058 -0.38572996 -0.53026792],[ 0.16008334 -0.00770605  0.04746103 -0.98593174],[-1.07154034e-01 -1.19185948e-08 -1.16695507e-07  9.94242432e-01],[ 0.00162797 -0.01078593  0.14923577  0.98874147],[ 0.50908412 -0.01488953  0.19083451 -0.83916259],[ 0.15559358  0.00599578 -0.0380367  -0.98707036],[-1.04088577e-01 -2.29401923e-08  1.30542971e-07  9.94568031e-01],[-1.14361107e-08  4.69083172e-09 -3.94882349e-09  1.00000000e+00],[ 0.68135598 -0.03811531  0.03246431 -0.73023785],[ 0.72958304  0.02401646 -0.02248637 -0.6831004 ],[-5.24978071e-01 -4.52097695e-08  5.01460414e-08  8.51115753e-01],[-0.02281759  0.02156313 -0.149761    0.98822368],[ 0.71441433 -0.00514901 -0.04933435 -0.69796259],[ 0.71842173 -0.0338081   0.03265963 -0.6940177 ],[-5.15731941e-01  4.68452814e-08 -3.29860226e-08  8.56750002e-01],[-0.04721581  0.04159608 -0.29730417  0.95270702],[ 0.68143427 -0.02432612 -0.15100888 -0.71571775],[ 0.65646293 -0.05437993  0.06211401 -0.74982737],[-4.65500622e-01  2.95835213e-08 -4.25148299e-08  8.85047553e-01]
[-0.6054854  -0.50890531 -0.36120704  0.49389502],[-0.45337372  0.43302369 -0.40317749 -0.66662632],[-0.14778494  0.07477882  0.03897952  0.98541785],[ 0.23895626  0.71685281 -0.384685   -0.5301315 ],[ 0.15846654 -0.00769014  0.04785878 -0.98617379],[-1.06067643e-01  9.63005376e-09 -9.67505832e-08  9.94358917e-01],[ 0.00162801 -0.01078593  0.14923578  0.98874147],[ 0.50846189 -0.01718205  0.18676891 -0.84040981],[ 0.1562631   0.00556048 -0.03512452 -0.98707507],[-1.04527451e-01 -2.55614960e-08  1.74925800e-07  9.94522002e-01],[2.39994634e-08 6.57124739e-09 2.59258142e-09 1.00000000e+00],[ 0.68202423 -0.03716532  0.03316522 -0.72963125],[ 0.72891428  0.02504977 -0.0234974  -0.68374291],[-5.24430671e-01 -8.97369098e-08  1.04869117e-07  8.51453153e-01],[-0.02281751  0.02156312 -0.14976097  0.98822368],[ 0.7149233  -0.00862219 -0.05285655 -0.69714885],[ 0.71773992 -0.03683214  0.03563547 -0.69442272],[-5.15277106e-01  8.48045632e-08 -7.89908137e-08  8.57023631e-01],[-0.04721577  0.04159608 -0.29730415  0.95270703],[ 0.68187607 -0.02315942 -0.14952393 -0.71564744],[ 0.65600254 -0.0528985   0.06051581 -0.75046669],[-4.65032186e-01 -1.94252494e-08  2.56263992e-08  8.85293774e-01]
[-0.60557113 -0.50878454 -0.36103563  0.49403964],[-0.45424401  0.43328964 -0.40321386 -0.66583861],[-0.14776341  0.07427623  0.03909547  0.98545449],[ 0.2394068   0.71762    -0.38344198 -0.52979068],[ 0.15758464 -0.00760589  0.04760571 -0.986328  ],[-1.05472685e-01  2.21299446e-08 -1.27172960e-07  9.94422200e-01],[ 0.00162797 -0.01078593  0.1492358   0.98874147],[ 0.51049837 -0.0151041   0.18955965 -0.83858835],[ 0.15446714  0.00608176 -0.03886892 -0.98721432],[-1.03334283e-01  4.76099951e-09 -3.13735795e-08  9.94646684e-01],[-2.38331239e-08 -8.43339200e-09  6.50616000e-10  1.00000000e+00],[ 0.68201858 -0.03477756  0.03555139 -0.72964188],[ 0.72894605  0.02720592 -0.02551184 -0.68355441],[-5.24524814e-01  5.35395175e-08 -4.65241309e-08  8.51395161e-01],[-0.0228176   0.02156311 -0.149761    0.98822367],[ 0.71510048 -0.00661906 -0.05080754 -0.69714136],[ 0.71774725 -0.03483652  0.03371366 -0.69461406],[-5.15198400e-01  4.23016841e-08 -6.67383511e-08  8.57070947e-01],[-0.04721582  0.04159607 -0.29730417  0.95270702],[ 0.68250968 -0.02115762 -0.14665282 -0.71569955],[ 0.65554795 -0.0508171   0.05823099 -0.75118817],[-4.64533542e-01  1.49900869e-08 -1.34271468e-08  8.85555525e-01]
[-0.60564991 -0.50864002 -0.36065481  0.49436992],[-0.45580414  0.43284315 -0.40345839 -0.66491406],[-0.14726891  0.0740411   0.03927819  0.98553894],[ 0.23950645  0.71728784 -0.3842411  -0.52961646],[ 0.15817123 -0.00776694  0.04842647 -0.98619289],[-1.05871837e-01  3.20183639e-08 -9.56462724e-08  9.94379784e-01],[ 0.00162799 -0.01078592  0.14923578  0.98874147],[ 0.50987256 -0.01230478  0.1949099  -0.83778798],[ 0.15513642  0.0068834  -0.04378835 -0.98689812],[-1.03806268e-01  5.73716332e-09 -4.06547370e-08  9.94597536e-01],[ 2.41869340e-08  8.27654301e-09 -7.06170615e-10  1.00000000e+00],[ 0.68182745 -0.03553858  0.03525148 -0.72979838],[ 0.72900655  0.02658983 -0.02493134 -0.68353556],[-5.24557418e-01 -2.81911589e-08  3.45927012e-08  8.51375073e-01],[-0.02281753  0.02156311 -0.14976097  0.98822368],[ 0.71431726 -0.00440979 -0.04799246 -0.69816053],[ 0.71851901 -0.03275226  0.03163525 -0.69401508],[-5.15773184e-01  1.91815215e-08 -2.80719954e-08  8.56725173e-01],[-0.04721577  0.04159609 -0.29730415  0.95270703],[ 0.68219948 -0.02141425 -0.145556   -0.71621139],[ 0.65577154 -0.05069086  0.05805318 -0.75101528],[-4.64705749e-01  5.24589030e-08 -4.84460206e-08  8.85465170e-01]
[-0.6056644  -0.50856492 -0.36026387  0.49471436],[-0.457092    0.4316272  -0.40391003 -0.66454613],[-0.1463131   0.07362176  0.03923717  0.98571434],[ 0.23802775  0.71675635 -0.38486139 -0.53055144],[ 0.15869075 -0.00774573  0.04813349 -0.98612394],[-1.06220046e-01  4.06669234e-09 -3.79337055e-08  9.94342648e-01],[ 0.001628   -0.01078592  0.14923577  0.98874147],[ 0.50737673 -0.01516929  0.19016625 -0.84034252],[ 0.15716767  0.00614694 -0.03859462 -0.98679836],[-1.05149820e-01 -2.72703979e-08  1.68696347e-07  9.94456392e-01],[0. 0. 0. 1.],[ 0.681998   -0.03892556  0.0324757  -0.72959499],[ 0.72894458  0.02409292 -0.02260002 -0.68377523],[-5.24428921e-01 -1.28308973e-07  1.30112855e-07  8.51454230e-01],[-0.02281755  0.02156313 -0.149761    0.98822368],[ 0.71442622 -0.00831686 -0.05113534 -0.69779021],[ 0.71836742 -0.0361234   0.03489049 -0.69384869],[-5.15781664e-01  8.54112238e-08 -8.64565438e-08  8.56720068e-01],[-0.0472158   0.04159608 -0.29730417  0.95270702],[ 0.68313404 -0.02573949 -0.1492135  -0.71442333],[ 0.65487466 -0.05396338  0.06190585 -0.75126214],[-4.64194060e-01  1.76978085e-08 -8.41114827e-09  8.85733524e-01]
[-0.60557312 -0.50864999 -0.36015675  0.49481663],[-0.45727702  0.43066599 -0.40400847 -0.66498247],[-0.1458466   0.0734159   0.03915808  0.98580197],[ 0.2418507   0.71801615 -0.38287175 -0.5285549 ],[ 0.15492066 -0.00774518  0.04932738 -0.98666428],[-1.03688677e-01  1.52873041e-08 -1.07540437e-08  9.94609802e-01],[ 0.00162799 -0.01078592  0.14923579  0.98874147],[ 0.51018361 -0.01472852  0.19105852 -0.83844642],[ 0.15395713  0.00610354 -0.03914045 -0.98728313],[-1.02992380e-01 -2.66138403e-08  1.40035161e-07  9.94682145e-01],[0. 0. 0. 1.],[ 0.68207631 -0.03489738  0.03711789 -0.72950418],[ 0.72909532  0.02800549 -0.02624776 -0.68333503],[-5.24679810e-01 -1.63726161e-08  2.59626954e-08  8.51299652e-01],[-0.02281757  0.02156311 -0.14976098  0.98822368],[ 0.7164143  -0.00854352 -0.05094801 -0.69575992],[ 0.71706035 -0.0359654   0.03486934 -0.69520865],[-5.14660319e-01 -1.90576023e-08  1.84044839e-08  8.57394166e-01],[-0.04721579  0.04159607 -0.29730417  0.95270702],[ 0.68152502 -0.02337971 -0.14686062 -0.71652564],[ 0.6568898  -0.05212128  0.05949533 -0.74982629],[-4.65697037e-01  3.76576211e-08 -5.36792322e-08  8.84944218e-01]
[-0.60553197 -0.50872499 -0.36035107  0.49464839],[-0.4566031   0.43108472 -0.40374669 -0.66533314],[-0.14609098  0.07368821  0.03881891  0.98575888],[ 0.24042715  0.71806584 -0.38240557 -0.52947353],[ 0.15623192 -0.00752361  0.04750988 -0.98654842],[-1.04561720e-01  4.59822284e-08  1.94882668e-09  9.94518399e-01],[ 0.00162796 -0.01078593  0.14923577  0.98874147],[ 0.51105906 -0.01341917  0.19241128 -0.83762549],[ 0.15293262  0.00626585 -0.04045474 -0.98738836],[-1.02308860e-01 -4.38942030e-09  2.19916152e-08  9.94752681e-01],[-2.45529126e-08 -8.38024900e-09  8.57172100e-10  1.00000000e+00],[ 0.68048741 -0.0363843   0.03550369 -0.73099422],[ 0.73033134  0.02628075 -0.02454691 -0.68214581],[-5.25692004e-01 -1.19555627e-07  1.01732147e-07  8.50674977e-01],[-0.0228176   0.02156311 -0.14976098  0.98822368],[ 0.71468041 -0.00410307 -0.04696213 -0.69786076],[ 0.71904939 -0.03269075  0.03152787 -0.69347335],[-5.16223541e-01  7.84746547e-08 -8.05752385e-08  8.56453884e-01],[-0.04721581  0.04159606 -0.29730417  0.95270702],[ 0.68071332 -0.02368059 -0.14836753 -0.71697677],[ 0.65723667 -0.05313258  0.06058041 -0.74936433],[-4.66041920e-01 -5.21848497e-09  5.69033528e-09  8.84762640e-01]
[-0.60555123 -0.50873339 -0.36054801  0.49447263],[-0.45605238  0.43195651 -0.4034679  -0.66531456],[-0.14622349  0.07373721  0.03854163  0.98574645],[ 0.2381699   0.71742988 -0.38348213 -0.53057602],[ 0.15805389 -0.00748192  0.04669057 -0.98629761],[-1.05783825e-01 -2.50115248e-08 -8.68306999e-08  9.94389150e-01],[ 0.00162795 -0.01078592  0.14923577  0.98874147],[ 0.50923623 -0.01385885  0.19145657 -0.83894623],[ 0.1547175   0.00609958 -0.03891856 -0.98717305],[-1.03502893e-01  4.17724503e-09 -6.00006305e-08  9.94629153e-01],[-1.26286137e-08  5.52772400e-09 -3.75248000e-09  1.00000000e+00],[ 0.68076618 -0.03753886  0.03406023 -0.73074492],[ 0.7300157   0.02514716 -0.02351261 -0.68256272],[-5.25384775e-01 -8.48346259e-08  9.37439355e-08  8.50864759e-01],[-0.02281761  0.02156313 -0.14976099  0.98822368],[ 0.71456883 -0.00576155 -0.04858652 -0.69785209],[ 0.71901361 -0.03444175  0.03321222 -0.69334706],[-5.16262772e-01 -3.03985601e-08  4.65024856e-08  8.56430237e-01],[-0.04721578  0.04159609 -0.29730417  0.95270702],[ 0.68135794 -0.02240463 -0.14720371 -0.71664528],[ 0.65672578 -0.05218072  0.05958858 -0.74995841],[-4.65568651e-01  1.62278340e-08 -4.20303276e-09  8.85011769e-01]
[-0.6055029  -0.5088198  -0.36076635  0.49428362],[-0.45569321  0.43308073 -0.4027171  -0.66528469],[-0.14628174  0.07363395  0.03853914  0.98574562],[ 0.23825079  0.71737913 -0.38391402 -0.53029592],[ 0.1576103  -0.00759405  0.04752414 -0.98632793],[-1.05489522e-01  1.62191835e-08 -6.01221939e-08  9.94420415e-01],[ 0.001628   -0.01078593  0.14923577  0.98874147],[ 0.50787253 -0.01460303  0.19043859 -0.8399913 ],[ 0.15555182  0.00593818 -0.03768188 -0.9870909 ],[-1.04059020e-01 -1.90804177e-09 -1.67093104e-08  9.94571124e-01],[0. 0. 0. 1.],[ 0.68119274 -0.03752228  0.03414703 -0.7303441 ],[ 0.72961445  0.02529685 -0.02367997 -0.6829803 ],[-5.25042547e-01  2.95703325e-08 -2.53415307e-08  8.51075980e-01],[-0.02281753  0.02156312 -0.14976099  0.98822368],[ 0.71541964 -0.00797267 -0.0507451  -0.69680421],[ 0.718235   -0.03648159  0.03524795 -0.69394897],[-5.15684073e-01  6.79145806e-08 -6.64927065e-08  8.56778815e-01],[-0.04721579  0.04159609 -0.29730417  0.95270702],[ 0.68128596 -0.02316885 -0.1484895  -0.71642411],[ 0.65674635 -0.05299807  0.06050801 -0.74980945],[-4.65637952e-01 -4.58572422e-09  1.74341803e-08  8.84975309e-01]
[-0.60546861 -0.50888928 -0.36097545  0.49410139],[-0.45544133  0.43435881 -0.40191886 -0.66510665],[-0.14612969  0.07327835  0.03840221  0.98580001],[ 0.23999776  0.71761183 -0.3840128  -0.5291205 ],[ 0.15551971 -0.00776995  0.04929053 -0.98657169],[-1.04091683e-01  1.26036501e-08 -5.93993004e-08  9.94567706e-01],[ 0.00162797 -0.01078591  0.14923576  0.98874147],[ 0.50979134 -0.0145271   0.19125217 -0.83864436],[ 0.1539902   0.00600424 -0.03849582 -0.98730392],[-1.03011968e-01  5.45468173e-09 -2.08766132e-08  9.94680117e-01],[-1.20832020e-08  6.00050700e-09 -3.54371754e-09  1.00000000e+00],[ 0.68136633 -0.03549621  0.03640862 -0.7301742 ],[ 0.7293335   0.027088   -0.02537276 -0.68315087],[-5.24855428e-01 -1.01699462e-07  7.46744790e-08  8.51191388e-01],[-0.02281757  0.02156312 -0.14976099  0.98822368],[ 0.71389953 -0.0088419  -0.05218846 -0.69824469],[ 0.71939439 -0.03726072  0.03587669 -0.69267323],[-5.16708041e-01 -1.90984615e-08  3.08026824e-08  8.56161667e-01],[-0.04721579  0.04159609 -0.29730417  0.95270702],[ 0.68192996 -0.02228158 -0.14770407 -0.7160018 ],[ 0.65609889 -0.05233282  0.05986055 -0.75047467],[-4.65073327e-01  4.43172081e-08 -2.81244349e-08  8.85272162e-01]
