[-0.60857848 -0.49909957 -0.32668198  0.52326928],[ 0.57272516 -0.35103657  0.42995172  0.60324185],[0.37402908 0.11433865 0.21539155 0.89478232],[-0.21005403 -0.75418137  0.30394796  0.54286592],[-0.31297244  0.07536027 -0.22163657  0.92045984],[-2.17196396e-01 -1.39128513e-09 -4.94621513e-09  9.76127925e-01],[ 0.00162799 -0.01078593  0.14923576  0.98874147],[-0.54910106 -0.08280112 -0.06822951  0.82884059],[-0.50317739 -0.04946903  0.08441442  0.85862654],[-3.47843735e-01  5.61205195e-09 -1.45094665e-08  9.37552524e-01],[ 4.71723089e-09 -1.97631989e-09 -3.05053945e-10  1.00000000e+00],[-0.60067351  0.02802644 -0.17338427  0.77996394],[-0.70477909 -0.05403574  0.05407534  0.70529599],[-5.05230640e-01 -2.10232621e-08  2.21584389e-08  8.62984357e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[-0.70405531 -0.01858702 -0.01161244  0.70980687],[-0.66558527 -0.00961554  0.0107799   0.746182  ],[-4.71129745e-01 -3.10246341e-07  3.41498883e-07  8.82063922e-01],[-0.04721578  0.04159608 -0.29730416  0.95270702],[-0.7151743   0.00638255  0.09398452  0.69256905],[-0.65495526  0.03763369 -0.04329523  0.75348712],[-4.63339622e-01 -5.26238595e-10 -5.61994894e-09  8.86180791e-01]
[-0.60821663 -0.49936608 -0.32604576  0.52383224],[ 0.57422948 -0.34763851  0.43017739  0.60361858],[0.37378726 0.1142406  0.2155032  0.89486901],[-0.21232107 -0.7538467   0.3040538   0.54238934],[-0.31165632  0.07556517 -0.22319104  0.92051399],[-2.16345198e-01 -1.10566245e-08  1.70377922e-08  9.76316934e-01],[ 0.00162798 -0.01078593  0.14923578  0.98874147],[-0.54504966 -0.08068079 -0.06639127  0.83186759],[-0.50729945 -0.04879519  0.08237721  0.85643464],[-3.50818972e-01  2.67800119e-08 -2.80156777e-08  9.36443297e-01],[ 4.07737924e-09 -1.50568755e-09 -5.62054334e-11  1.00000000e+00],[-0.60126845  0.02652805 -0.17547223  0.7790905 ],[-0.70440994 -0.05565452  0.05573358  0.7054098 ],[-5.05026237e-01 -1.42583918e-08  2.03158016e-08  8.63103992e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[-0.70551474 -0.01631483 -0.00935393  0.70844568],[-0.66443491 -0.00797385  0.0089677   0.74724979],[-4.70177320e-01  5.07386521e-08 -5.72327845e-08  8.82571973e-01],[-0.04721578  0.04159609 -0.29730419  0.95270701],[-0.71462381  0.00467056  0.09219595  0.69339087],[-0.65564441  0.03588913 -0.04122315  0.75308899],[-4.63816022e-01 -2.98084014e-08  4.54339422e-08  8.85931542e-01]
[-0.60820846 -0.49918249 -0.32517069  0.52456013],[ 0.57650197 -0.3441324   0.43146568  0.60254107],[0.37373355 0.11407446 0.21557356 0.89489569],[-0.21065511 -0.75334152  0.30566619  0.54283437],[-0.31388157  0.07593236 -0.22253343  0.91988668],[-2.17900362e-01 -1.40839364e-08  2.35674536e-08  9.75971020e-01],[ 0.00162798 -0.01078593  0.14923578  0.98874147],[-0.54625849 -0.0820412  -0.07127616  0.83053634],[-0.50558762 -0.05093278  0.08632726  0.85693326],[-3.49717307e-01 -1.74193729e-09  3.51080172e-10  9.36855275e-01],[ 5.75625300e-09 -1.65833691e-09  9.89540600e-10  1.00000000e+00],[-0.6014879   0.02654026 -0.17626667  0.77874128],[-0.70419307 -0.05600484  0.05611421  0.70556841],[-5.04867121e-01 -2.50951393e-08  2.55893610e-08  8.63197075e-01],[-0.02281755  0.02156312 -0.14976099  0.98822368],[-0.70534077 -0.01896314 -0.01196582  0.70851367],[-0.66462103 -0.01044616  0.01174123  0.74701533],[-4.70356359e-01 -1.00907105e-07  1.18221702e-07  8.82476570e-01],[-0.04721577  0.04159609 -0.29730417  0.95270702],[-0.71738107  0.00288783  0.08916019  0.69094611],[-0.65254813  0.03387908 -0.03924868  0.75597135],[-4.61237402e-01 -4.84696791e-08  4.82557364e-08  8.87276766e-01]
[-0.60832256 -0.49894092 -0.32465861  0.52497467],[ 0.57787653 -0.34234521  0.43246674  0.60152389],[0.37298879 0.11410814 0.21630198 0.89502634],[-0.20757436 -0.75310331  0.3056686   0.54434823],[-0.31480354  0.07547195 -0.22058284  0.92007931],[-2.18445896e-01 -2.87323108e-08 -1.03652436e-08  9.75849061e-01],[ 0.00162798 -0.01078593  0.14923578  0.98874147],[-0.54737256 -0.08002836 -0.07037225  0.83007619],[-0.50470697 -0.04980773  0.08464212  0.85768629],[-3.48989257e-01  1.74191919e-08 -3.17706758e-08  9.37126725e-01],[ 2.32349162e-09 -9.50977000e-10 -3.99403000e-10  1.00000000e+00],[-0.60091556  0.02881284 -0.1728421   0.77986917],[-0.7047219 -0.0537118  0.0537637  0.7054017],[-5.05161801e-01 -3.70087144e-08  3.98391201e-08  8.63024655e-01],[-0.02281755  0.02156312 -0.14976099  0.98822368],[-0.7054371  -0.01895373 -0.01204042  0.70841674],[-0.66448884 -0.01014213  0.01140373  0.74714234],[-4.70245143e-01 -3.68847516e-08  4.25949318e-08  8.82535838e-01],[-0.04721579  0.04159609 -0.29730419  0.95270701],[-0.71602174  0.00523621  0.09176588  0.69200034],[-0.65380603  0.03604541 -0.04160556  0.75465712],[-4.62342445e-01 -4.11712632e-08  3.23985052e-08  8.86701451e-01]
[-0.60845139 -0.49870506 -0.3242479   0.52530321],[ 0.57919671 -0.34126983  0.43307589  0.60042597],[0.37244037 0.1136907  0.21687609 0.8951689 ],[-0.21053998 -0.75277066  0.30465269  0.54423891],[-0.31228806  0.07552122 -0.22259409  0.92044803],[-2.16762506e-01 -2.23783012e-08  1.79221432e-08  9.76224368e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[-0.54386396 -0.07887451 -0.06978993  0.83253839],[-0.50765574 -0.04969662  0.08380073  0.85603349],[-3.51144788e-01 -1.70749046e-08  5.11099939e-08  9.36321172e-01],[ 1.91276350e-09 -7.20639659e-10 -7.48641400e-10  1.00000000e+00],[-0.60122169  0.02897771 -0.17239031  0.77972711],[-0.70436291 -0.05387521  0.05397986  0.7057312 ],[-5.04870303e-01  2.23226213e-08 -1.94048359e-08  8.63195214e-01],[-0.02281756  0.02156312 -0.149761    0.98822368],[-0.70472017 -0.01661029 -0.00952965  0.70922688],[-0.66514043 -0.00828097  0.00929531  0.74661452],[-4.70753573e-01 -9.97840147e-08  1.10899561e-07  8.82264741e-01],[-0.04721579  0.04159608 -0.29730416  0.95270702],[-0.71649671  0.0060223   0.09288983  0.69135206],[-0.65338049  0.03652612 -0.04220529  0.7549692 ],[-4.62021574e-01  1.43298143e-08 -3.98802007e-09  8.86868685e-01]
[-0.60857159 -0.49849211 -0.32389824  0.52558174],[ 0.58015563 -0.34013624  0.4338431   0.59958898],[0.37192351 0.11363318 0.21775168 0.89517853],[-0.21242885 -0.75291584  0.30339008  0.54400937],[-0.31057511  0.07534849 -0.22340553  0.92084509],[-2.15583555e-01  3.66863016e-09  3.77716287e-08  9.76485397e-01],[ 0.00162797 -0.01078592  0.14923576  0.98874147],[-0.54421786 -0.07787876 -0.06817373  0.83253478],[-0.50721184 -0.04878004  0.08237091  0.856488  ],[-3.50753606e-01 -4.98933708e-09  3.31545855e-08  9.36467783e-01],[-6.54452759e-09  1.50344348e-09  3.70336539e-10  1.00000000e+00],[-0.60103028  0.02599901 -0.17651419  0.77905673],[-0.70429826 -0.05701157  0.05709304  0.70530421],[-5.05023591e-01 -4.55591370e-09  5.88910974e-09  8.63105540e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[-0.70563425 -0.01629323 -0.00920788  0.70832905],[-0.66418312 -0.00824169  0.00927508  0.74746695],[-4.69975547e-01  1.22229519e-07 -1.37044548e-07  8.82679435e-01],[-0.04721578  0.04159608 -0.29730416  0.95270702],[-0.7159459   0.00229403  0.08873341  0.69249014],[-0.65409985  0.03328495 -0.03840412  0.75469903],[-4.62461167e-01  3.33486776e-08 -4.10045302e-08  8.86639537e-01]
[-0.60855136 -0.49840137 -0.32339193  0.52600283],[ 0.58136983 -0.33791002  0.43468842  0.59905919],[0.37109385 0.11354271 0.21870057 0.895303  ],[-0.21159518 -0.75310477  0.30504017  0.54314932],[-0.31247569  0.0757738  -0.22315077  0.92022878],[-2.16929706e-01 -3.14725388e-09  1.08062362e-08  9.76187227e-01],[ 0.00162797 -0.01078593  0.1492358   0.98874147],[-0.54975833 -0.08142582 -0.07153158  0.82826255],[-0.5020299  -0.05002174  0.08560457  0.85914822],[-3.47043270e-01  9.35590519e-09 -1.50900310e-08  9.37849118e-01],[-6.79625334e-09  1.57090441e-09  2.83363555e-10  1.00000000e+00],[-0.60109193  0.02574451 -0.17732192  0.77883416],[-0.7042594  -0.05690605  0.0569949   0.70535946],[-5.04983739e-01 -1.24679274e-08  8.08362203e-09  8.63128856e-01],[-0.02281757  0.02156312 -0.14976099  0.98822368],[-0.7051647  -0.02004453 -0.01377117  0.70862636],[-0.66445421 -0.01152034  0.01295377  0.74712789],[-4.70235251e-01 -3.03330369e-07  3.37114806e-07  8.82541109e-01],[-0.04721578  0.04159608 -0.29730417  0.95270702],[-0.71540265  0.00411662  0.09012181  0.69286374],[-0.65455086  0.03521729 -0.04057378  0.75410655],[-4.62905670e-01  5.36424629e-08 -7.19540875e-08  8.86407548e-01]
[-0.60847473 -0.4984075  -0.32303685  0.52630377],[ 0.58225998 -0.33629181  0.43506907  0.59882888],[0.37053513 0.11326347 0.2194099  0.89539623],[-0.20884939 -0.75349368  0.30466511  0.54388269],[-0.31385141  0.07528247 -0.22076741  0.92037579],[-2.17774862e-01  9.66777575e-09 -1.52074196e-08  9.75999031e-01],[ 0.00162798 -0.01078592  0.14923578  0.98874147],[-0.54807501 -0.08147035 -0.07129198  0.82939364],[-0.50375242 -0.04991798  0.0850412   0.85820143],[-3.48297603e-01  1.29467709e-08 -9.03570560e-09  9.37384009e-01],[ 8.37990800e-09  8.47163451e-10 -3.98026000e-10  1.00000000e+00],[-0.60131391  0.0287716  -0.17317584  0.77948952],[-0.70416595 -0.05374556  0.05388125  0.70594514],[-5.04696335e-01 -8.43860391e-08  7.75606798e-08  8.63296942e-01],[-0.02281756  0.02156312 -0.149761    0.98822368],[-0.70548504 -0.01859556 -0.01258192  0.70836908],[-0.66416098 -0.01023049  0.01151316  0.74743092],[-4.69979907e-01 -2.97255360e-07  3.25153683e-07  8.82677114e-01],[-0.04721577  0.04159609 -0.29730419  0.95270701],[-0.71590445  0.00716762  0.09321617  0.69191054],[-0.65394166  0.03773389 -0.0435275   0.7543486 ],[-4.62528363e-01  1.45755706e-08 -1.96480877e-08  8.86604486e-01]
[-0.60841434 -0.49836663 -0.32255551  0.52670735],[ 0.5832224  -0.33383301  0.43602502  0.59857275],[0.36975139 0.1129642  0.21999068 0.89561548],[-0.21162653 -0.7534185   0.30374548  0.5434275 ],[-0.31186901  0.0752792  -0.22223858  0.92069581],[-2.16441602e-01 -2.89123163e-08  9.31748163e-09  9.76295566e-01],[ 0.00162797 -0.01078592  0.14923577  0.98874147],[-0.54457774 -0.07767288 -0.06629183  0.83247066],[-0.50735598 -0.04759092  0.08035641  0.85666088],[-3.50776549e-01 -2.72016966e-08  2.46108553e-08  9.36459189e-01],[7.42610240e-09 1.32018729e-09 9.34563500e-10 1.00000000e+00],[-0.60176818  0.02770069 -0.17490047  0.77879237],[-0.70376554 -0.05504168  0.05522744  0.70614051],[-5.04444005e-01 -3.94635804e-08  3.59323903e-08  8.63444408e-01],[-0.02281755  0.02156312 -0.14976098  0.98822368],[-0.70604536 -0.0150355  -0.00904407  0.70794922],[-0.6639702  -0.00744193  0.0083802   0.74767503],[-4.69794999e-01  1.39461800e-07 -1.48754200e-07  8.82775543e-01],[-0.04721577  0.04159608 -0.29730415  0.95270703],[-0.71718093  0.00566093  0.09115678  0.69087619],[-0.65313522  0.03606147 -0.0416985   0.75523188],[-4.61803567e-01  6.45660253e-08 -7.13351919e-08  8.86982224e-01]
[-0.60854483 -0.4981721  -0.32234316  0.5268706 ],[ 0.58336617 -0.33262856  0.43722821  0.59822541],[0.36931784 0.11300353 0.22001278 0.89578397],[-0.2136209  -0.75347287  0.3037186   0.54258618],[-0.31110826  0.07553122 -0.22351077  0.92062458],[-2.15971465e-01 -2.87916493e-08  1.04316108e-08  9.76399676e-01],[ 0.00162799 -0.01078592  0.14923577  0.98874147],[-0.54575102 -0.07719737 -0.06514107  0.83183714],[-0.50632768 -0.04702161  0.07962193  0.857369  ],[-3.49982584e-01 -1.41080396e-08  4.55078655e-08  9.36756207e-01],[6.82659970e-09 1.34544855e-10 1.69884172e-10 1.00000000e+00],[-0.60132159  0.02600907 -0.177283    0.77865693],[-0.70393466 -0.05666163  0.05680525  0.70571851],[-5.04694153e-01  5.33415540e-08 -4.58430155e-08  8.63298217e-01],[-0.02281756  0.02156312 -0.149761    0.98822368],[-0.70567605 -0.01622223 -0.00997811  0.70827861],[-0.66437624 -0.00843637  0.00948928  0.74729043],[-4.70134333e-01 -3.32638190e-07  3.75784788e-07  8.82594872e-01],[-0.04721577  0.04159608 -0.29730415  0.95270703],[-0.71559671  0.00402559  0.08992159  0.69268986],[-0.65452134  0.03499886 -0.04032643  0.7541556 ],[-4.62872487e-01  6.06540383e-08 -6.28739426e-08  8.86424876e-01]
