[-0.5743607  -0.5223618  -0.27388948  0.56765526],[-0.7698486   0.0939703  -0.30047204 -0.55517499],[0.10849674 0.12837122 0.261125   0.95055932],[ 0.20442639  0.76488125 -0.32040563 -0.52010264],[ 0.32717871 -0.05665616  0.16094576 -0.92943027],[-2.24210282e-01  2.55993187e-08 -3.22183056e-08  9.74540789e-01],[ 0.00162798 -0.01078593  0.14923578  0.98874147],[ 0.31760409  0.05232545  0.25590141 -0.91153945],[ 0.42494825  0.00437378 -0.00931618 -0.90515914],[-2.89477325e-01 -6.58341614e-08  1.27024211e-07  9.57184871e-01],[1.04098380e-08 8.00464548e-09 1.50980171e-09 1.00000000e+00],[ 0.59323835 -0.06076085  0.12553243 -0.79285433],[ 0.64798054 -0.02746671  0.03223533 -0.76047859],[-4.57328561e-01  2.21681801e-08 -2.11243001e-08  8.89297806e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.67923825 -0.04252571  0.021779   -0.732361  ],[ 0.70389141 -0.07260964  0.07250287 -0.70285707],[-5.05888139e-01 -2.90310765e-08  5.25448015e-09  8.62599091e-01],[-0.04721578  0.04159609 -0.29730416  0.95270702],[ 0.70833837 -0.02107071 -0.12639609 -0.69414466],[ 0.67834509 -0.07105936  0.07618944 -0.72731951],[-4.84557757e-01 -2.27633418e-08  1.27282177e-08  8.74759270e-01]
[-0.57421821 -0.52250585 -0.27386923  0.56767661],[-0.76942185  0.09289139 -0.30099645 -0.55566388],[0.10833753 0.12792014 0.26075686 0.95073933],[ 0.20731904  0.76558341 -0.31807715 -0.51935324],[ 0.32420732 -0.05641162  0.16187552 -0.93032449],[-2.22152536e-01 -5.77039364e-09  4.55604632e-08  9.75011923e-01],[ 0.00162798 -0.01078593  0.14923578  0.98874147],[ 0.31680876  0.05266405  0.25595775 -0.91178086],[ 0.42586555  0.00435438 -0.00925064 -0.90472869],[-2.90131013e-01 -2.74284257e-07  5.70077162e-07  9.56986936e-01],[-3.04347718e-09  2.23056964e-09  1.63852941e-09  1.00000000e+00],[ 0.59372895 -0.05832491  0.12860514 -0.79217729],[ 0.64799481 -0.02567497  0.03013721 -0.76061506],[-4.57281050e-01  2.53868162e-08  1.32082891e-10  8.89322237e-01],[-0.02281757  0.02156312 -0.14976099  0.98822368],[ 0.68141255 -0.0410189   0.02367251 -0.73036566],[ 0.70235429 -0.07075079  0.07099079 -0.70473619],[-5.04439036e-01  5.36505598e-08 -4.35573102e-08  8.63447311e-01],[-0.04721578  0.04159608 -0.29730417  0.95270702],[ 0.70796084 -0.01950127 -0.12509833 -0.69481044],[ 0.67870367 -0.07008684  0.07509414 -0.72719326],[-4.84768885e-01 -4.69086546e-08  3.14488831e-08  8.74642286e-01]
[-0.57409391 -0.52264272 -0.27388863  0.56766698],[-0.76877248  0.09215738 -0.30171988 -0.55629219],[0.10803737 0.12820943 0.26083926 0.95071192],[ 0.20305799  0.76518655 -0.32068393 -0.5200181 ],[ 0.32864645 -0.05648547  0.15969401 -0.9291387 ],[-2.25192981e-01  4.94255598e-09  3.02294011e-08  9.74314180e-01],[ 0.00162799 -0.01078593  0.14923577  0.98874147],[ 0.32062542  0.05280993  0.25719812 -0.91008768],[ 0.42360075  0.00461207 -0.00986205 -0.90578357],[-2.88519042e-01 -1.11585161e-07  2.16247504e-07  9.57474158e-01],[ 1.24027710e-09 -5.46312373e-09 -1.15754500e-09  1.00000000e+00],[ 0.59373835 -0.06105546  0.12535616 -0.79248523],[ 0.64783833 -0.02809536  0.0329832  -0.76054471],[-4.57236223e-01 -4.82275438e-08  3.10983795e-08  8.89345285e-01],[-0.02281755  0.02156311 -0.14976099  0.98822368],[ 0.67957809 -0.04041322  0.02355084 -0.73211047],[ 0.70424623 -0.07101943  0.0708767  -0.70282998],[-5.06050056e-01  2.24186877e-08 -2.56244078e-08  8.62504111e-01],[-0.04721578  0.04159608 -0.29730417  0.95270702],[ 0.70834867 -0.02129532 -0.12727479 -0.69396671],[ 0.6781404  -0.0719804   0.07719977 -0.72731329],[-4.84469556e-01 -2.71996324e-08  1.99022058e-08  8.74808121e-01]
[-0.57407218 -0.5226953  -0.27398532  0.56759387],[-0.76790827  0.09245177 -0.30265107 -0.55693078],[0.10656216 0.12796534 0.26074499 0.95093713],[ 0.20324562  0.76496717 -0.32069097 -0.52026315],[ 0.32864399 -0.05653786  0.15983899 -0.92911146],[-2.25197466e-01  1.32762833e-08  9.72350587e-09  9.74313143e-01],[ 0.00162797 -0.01078592  0.14923578  0.98874147],[ 0.31734669  0.05315844  0.25625425 -0.91148177],[ 0.42716793  0.00405407 -0.00858055 -0.9041225 ],[-2.91057609e-01  2.17888541e-08 -3.80036511e-08  9.56705529e-01],[0. 0. 0. 1.],[ 0.59401716 -0.06262061  0.12345739 -0.79245224],[ 0.64791845 -0.02928242  0.03436467 -0.7603705 ],[-4.57342460e-01 -4.92530742e-09 -1.18455204e-08  8.89290658e-01],[-0.02281755  0.02156312 -0.14976099  0.98822368],[ 0.679546   -0.0406782   0.02311143 -0.73213959],[ 0.70443158 -0.07142367  0.07123457 -0.70256704],[-5.06240209e-01  2.67082628e-09  9.85648718e-09  8.62392515e-01],[-0.04721577  0.04159609 -0.29730417  0.95270702],[ 0.70917659 -0.02216683 -0.12912195 -0.69275155],[ 0.67780972 -0.07297426  0.07831355 -0.72740341],[-4.84285511e-01  2.21823329e-08 -1.40798256e-08  8.74910020e-01]
[-0.57395371 -0.52286472 -0.27413137  0.56748711],[-0.76668939  0.09308184 -0.30336334 -0.55811632],[0.10486445 0.12762563 0.2610682  0.95108283],[ 0.20734209  0.76527317 -0.31881933 -0.51934618],[ 0.32569648 -0.05666076  0.16175723 -0.92980964],[-2.23198613e-01 -8.87794753e-09  6.42296211e-09  9.74772988e-01],[ 0.00162798 -0.01078592  0.14923578  0.98874147],[ 0.31590707  0.05216752  0.25551009 -0.9122477 ],[ 0.42852073  0.00338753 -0.00714225 -0.90349737],[-2.92018520e-01 -4.18474728e-07  8.42539557e-07  9.56412664e-01],[ 5.88583349e-10 -5.07299536e-09 -1.18478893e-09  1.00000000e+00],[ 0.59304183 -0.05921509  0.12767786 -0.79277571],[ 0.64953914 -0.02647195  0.03094274 -0.75923691],[-4.58545107e-01  9.98788705e-08 -1.14180329e-07  8.88671134e-01],[-0.02281757  0.02156311 -0.149761    0.98822368],[ 0.67913705 -0.04190749  0.02092217 -0.73251545],[ 0.70463263 -0.07276396  0.07250214 -0.70209807],[-5.06524412e-01 -9.10095621e-09 -2.25325648e-08  8.62225620e-01],[-0.04721578  0.04159608 -0.29730416  0.95270702],[ 0.70782504 -0.0186107  -0.12661362 -0.69469874],[ 0.67960148 -0.07050716  0.07535052 -0.72628704],[-4.85541346e-01 -2.25365541e-08 -4.78121633e-09  8.74213704e-01]
[-0.57389925 -0.52296642 -0.27427622  0.56737848],[-0.76572552  0.09408694 -0.30381127 -0.55902664],[0.10277098 0.12809837 0.26159397 0.95110332],[ 0.20395847  0.76563661 -0.31953066 -0.51971308],[ 0.32890011 -0.05632484  0.15912008 -0.92915716],[-2.25347559e-01  6.96203528e-09 -9.29507903e-09  9.74278439e-01],[ 0.00162796 -0.01078592  0.14923579  0.98874147],[ 0.31596855  0.05182045  0.26477004 -0.90960175],[ 0.42827266  0.00527052 -0.01111946 -0.90356577],[-2.91855082e-01  4.12230122e-08 -9.84661052e-08  9.56462551e-01],[-1.59255609e-10  4.80888700e-09  1.14117071e-09  1.00000000e+00],[ 0.59149004 -0.05984863  0.12634544 -0.79409981],[ 0.65130748 -0.027343    0.03180754 -0.75765376],[-4.59993701e-01  3.48324831e-08 -7.53862817e-08  8.87922179e-01],[-0.02281756  0.02156313 -0.14976099  0.98822368],[ 0.68120157 -0.03867044  0.02504044 -0.73064492],[ 0.70369211 -0.06921717  0.06922085 -0.70372926],[-5.05433791e-01 -1.32981142e-08 -7.31480277e-09  8.62865391e-01],[-0.04721578  0.04159608 -0.29730417  0.95270702],[ 0.70719139 -0.01800806 -0.1265975  -0.69536258],[ 0.68034373 -0.07055085  0.07524376 -0.72559862],[-4.86154654e-01  2.35802574e-08 -1.22589179e-08  8.73872790e-01]
[-0.57388553 -0.52300323 -0.27434933  0.56732307],[-0.76541057  0.09489043 -0.30368553 -0.55939035],[0.1003474  0.12763049 0.26170126 0.95139545],[ 0.20235685  0.76556533 -0.32124674 -0.51938614],[ 0.33092546 -0.05643959  0.15836696 -0.92855954],[-2.26745829e-01 -3.46630260e-09  4.22188749e-08  9.73953966e-01],[ 0.00162797 -0.01078592  0.14923578  0.98874147],[ 0.31609097  0.05194091  0.2679881  -0.90860939],[ 0.42912633  0.00580049 -0.01220764 -0.90314336],[-2.92469160e-01 -1.43868093e-07  3.12777146e-07  9.56274955e-01],[2.69211016e-10 4.77063573e-09 1.15483230e-09 1.00000000e+00],[ 0.59266242 -0.0611998   0.1231357  -0.79362676],[ 0.65027487 -0.02900078  0.03382252 -0.75839145],[-4.59222165e-01 -1.33483863e-08  2.30836235e-08  8.88321453e-01],[-0.02281756  0.02156313 -0.149761    0.98822368],[ 0.67962483 -0.03819316  0.02459104 -0.73215207],[ 0.70486152 -0.06977221  0.06953562 -0.70247197],[-5.06462495e-01 -1.83457727e-08  2.04446271e-08  8.62261991e-01],[-0.04721578  0.04159609 -0.29730419  0.95270701],[ 0.70842698 -0.02001777 -0.1287456  -0.69365343],[ 0.67881605 -0.07260735  0.07771459 -0.72656547],[-4.85078311e-01  1.63436743e-09  2.29051917e-09  8.74470716e-01]
[-0.57386527 -0.52304661 -0.27442139  0.56726872],[-0.76520607  0.09587589 -0.30325912 -0.55973331],[0.10032352 0.12701473 0.26202    0.95139265],[ 0.20361748  0.76524491 -0.32145203 -0.51923861],[ 0.33005276 -0.05654768  0.15912008 -0.9287348 ],[-2.26161662e-01  1.07430123e-08  5.37053135e-08  9.74089782e-01],[ 0.00162797 -0.01078593  0.14923577  0.98874147],[ 0.3148658   0.05160353  0.26699735 -0.90934538],[ 0.43104392  0.00552481 -0.01156417 -0.90223993],[-2.93835548e-01 -1.45498687e-07  3.22401174e-07  9.55855989e-01],[ 1.78263926e-09  3.40794690e-10 -3.91636523e-10  1.00000000e+00],[ 0.59268435 -0.06061522  0.12266692 -0.79372784],[ 0.6502     -0.0287027   0.0334827  -0.75848205],[-4.59151356e-01  2.76558544e-08 -6.00957698e-08  8.88358054e-01],[-0.02281756  0.02156312 -0.149761    0.98822368],[ 0.6791745  -0.04020186  0.02241118 -0.73253229],[ 0.70471723 -0.07161693  0.07136584 -0.70224751],[-5.06496632e-01 -4.54571744e-08  6.29925010e-08  8.62241939e-01],[-0.04721579  0.04159609 -0.29730416  0.95270702],[ 0.70749635 -0.02068868 -0.12949075 -0.69444441],[ 0.67955608 -0.07289706  0.07786058 -0.72582869],[-4.85711076e-01 -9.98242616e-09  1.29651336e-09  8.74119414e-01]
[-0.57386527 -0.52304661 -0.27442139  0.56726872],[-0.76520607  0.09587589 -0.30325912 -0.55973331],[0.10032352 0.12701473 0.26202    0.95139265],[ 0.20361748  0.76524491 -0.32145203 -0.51923861],[ 0.33005276 -0.05654768  0.15912008 -0.9287348 ],[-2.26161662e-01  1.07430123e-08  5.37053135e-08  9.74089782e-01],[ 0.00162797 -0.01078593  0.14923577  0.98874147],[ 0.3148658   0.05160353  0.26699735 -0.90934538],[ 0.43104392  0.00552481 -0.01156417 -0.90223993],[-2.93835548e-01 -1.45498687e-07  3.22401174e-07  9.55855989e-01],[ 1.78263926e-09  3.40794690e-10 -3.91636523e-10  1.00000000e+00],[ 0.59268435 -0.06061522  0.12266692 -0.79372784],[ 0.6502     -0.0287027   0.0334827  -0.75848205],[-4.59151356e-01  2.76558544e-08 -6.00957698e-08  8.88358054e-01],[-0.02281756  0.02156312 -0.149761    0.98822368],[ 0.6791745  -0.04020186  0.02241118 -0.73253229],[ 0.70471723 -0.07161693  0.07136584 -0.70224751],[-5.06496632e-01 -4.54571744e-08  6.29925010e-08  8.62241939e-01],[-0.04721579  0.04159609 -0.29730416  0.95270702],[ 0.70749635 -0.02068868 -0.12949075 -0.69444441],[ 0.67955608 -0.07289706  0.07786058 -0.72582869],[-4.85711076e-01 -9.98242616e-09  1.29651336e-09  8.74119414e-01]
[-0.57386527 -0.52304661 -0.27442139  0.56726872],[-0.76520607  0.09587589 -0.30325912 -0.55973331],[0.10032352 0.12701473 0.26202    0.95139265],[ 0.20361748  0.76524491 -0.32145203 -0.51923861],[ 0.33005276 -0.05654768  0.15912008 -0.9287348 ],[-2.26161662e-01  1.07430123e-08  5.37053135e-08  9.74089782e-01],[ 0.00162797 -0.01078593  0.14923577  0.98874147],[ 0.3148658   0.05160353  0.26699735 -0.90934538],[ 0.43104392  0.00552481 -0.01156417 -0.90223993],[-2.93835548e-01 -1.45498687e-07  3.22401174e-07  9.55855989e-01],[ 1.78263926e-09  3.40794690e-10 -3.91636523e-10  1.00000000e+00],[ 0.59268435 -0.06061522  0.12266692 -0.79372784],[ 0.6502     -0.0287027   0.0334827  -0.75848205],[-4.59151356e-01  2.76558544e-08 -6.00957698e-08  8.88358054e-01],[-0.02281756  0.02156312 -0.149761    0.98822368],[ 0.6791745  -0.04020186  0.02241118 -0.73253229],[ 0.70471723 -0.07161693  0.07136584 -0.70224751],[-5.06496632e-01 -4.54571744e-08  6.29925010e-08  8.62241939e-01],[-0.04721579  0.04159609 -0.29730416  0.95270702],[ 0.70749635 -0.02068868 -0.12949075 -0.69444441],[ 0.67955608 -0.07289706  0.07786058 -0.72582869],[-4.85711076e-01 -9.98242616e-09  1.29651336e-09  8.74119414e-01]
